abandon	əˈbændən
chrysanthemum	krɪˈsænθəməm
chuck	tʃʌk
chuffed	tʃʌft
chuckle	ˈtʃʌkl
chuffing	ˈtʃʌfɪŋ
chum	tʃʌm
chummy	ˈtʃʌmi
chummily	ˈtʃʌməli
chumminess	ˈtʃʌminəs
chump	tʃʌmp
chukka	ˈtʃʌkə
chunk	tʃʌŋk
church	tʃɜːtʃ
chunter	ˈtʃʌntə(r)
churchman	ˈtʃɜːtʃmən
churchmen	ˈtʃɜːtʃmən
churchwomen	ˈtʃɜːtʃmən
chunking	ˈtʃʌŋkɪŋ
churchwarden	ˌtʃɜːtʃˈwɔːdn
churchgoer	ˈtʃɜːtʃɡəʊə(r)
churchgoing	ˈtʃɜːtʃɡəʊɪŋ
churchyard	ˈtʃɜːtʃjɑːd
churn	tʃɜːn
chute	ʃuːt
churl	tʃɜːl
churlish	ˈtʃɜːlɪʃ
churlishly	ˈtʃɜːlɪʃli
churlishness	ˈtʃɜːlɪʃnəs
chutney	ˈtʃʌtni
ciao	tʃaʊ
chutzpah	ˈxʊtspə
cicada	sɪˈkɑːdə
cigar	sɪˈɡɑː(r)
cigarette	ˌsɪɡəˈret
cider	ˈsaɪdə(r)
cimbalom	ˈsɪmbələm
cinch	sɪntʃ
cilantro	sɪˈlæntrəʊ
cinder	ˈsɪndə(r)
cine	ˈsɪni
cinema	ˈsɪnəmə
cinematic	ˌsɪnəˈmætɪk
cineaste	ˈsɪniæst
cinnamon	ˈsɪnəmən
cinematography	ˌsɪnəməˈtɒɡrəfi
cinematographer	ˌsɪnəməˈtɒɡrəfə(r)
cinematographic	ˌsɪnəmətəˈɡræfɪk
circle	ˈsɜːkl
cinnabar	ˈsɪnəbɑː(r)
cipher	ˈsaɪfə(r)
circadian	sɜːˈkeɪdiən
circa	ˈsɜːkə
circuit	ˈsɜːkɪt
circlet	ˈsɜːklət
circuitry	ˈsɜːkɪtri
circuitous	səˈkjuːɪtəs
circuitously	səˈkjuːɪtəsli
circular	ˈsɜːkjələ(r)
circularity	ˌsɜːkjəˈlærəti
circulate	ˈsɜːkjəleɪt
circulation	ˌsɜːkjəˈleɪʃn
circulatory	ˌsɜːkjəˈleɪtəri
circumcise	ˈsɜːkəmsaɪz
circumference	səˈkʌmfərəns
circumcision	ˌsɜːkəmˈsɪʒn
circumnavigate	ˌsɜːkəmˈnævɪɡeɪt
circumnavigation	ˌsɜːkəmˌnævɪˈɡeɪʃn
circumflex	ˈsɜːkəmfleks
circumlocution	ˌsɜːkəmləˈkjuːʃn
circumlocutory	ˌsɜːkəmˈlɒkjʊtəri
circumspect	ˈsɜːkəmspekt
circumspection	ˌsɜːkəmˈspekʃn
circumspectly	ˈsɜːkəmspektli
circumscribe	ˈsɜːkəmskraɪb
circumscription	ˌsɜːkəmˈskrɪpʃn
cirque	sɜːk
circumstantial	ˌsɜːkəmˈstænʃl
circumstance	ˈsɜːkəmstəns
circumvent	ˌsɜːkəmˈvent
circumvention	ˌsɜːkəmˈvenʃn
cirrocumulus	ˌsɪrəʊˈkjuːmjələs
cirrus	ˈsɪrəs
cirrostratus	ˌsɪrəʊˈstrɑːtəs
cirrhosis	səˈrəʊsɪs
cistern	ˈsɪstən
circus	ˈsɜːkəs
citation	saɪˈteɪʃn
cis	ˌsiː aɪ ˈes
citadel	ˈsɪtədəl
citified	ˈsɪtɪfaɪd
citizenship	ˈsɪtɪzənʃɪp
citizenry	ˈsɪtɪzənri
citric	ˈsɪtrɪk
cite	saɪt
citizen	ˈsɪtɪzn
citron	ˈsɪtrən
citrus	ˈsɪtrəs
cityscape	ˈsɪtiskeɪp
civic	ˈsɪvɪk
citronella	ˌsɪtrəˈnelə
cittern	ˈsɪtən
civet	ˈsɪvɪt
civics	ˈsɪvɪks
civilization	ˌsɪvəlaɪˈzeɪʃn
civilized	ˈsɪvəlaɪzd
cladding	ˈklædɪŋ
civilian	səˈvɪliən
clad	klæd
civilize	ˈsɪvəlaɪz
civility	səˈvɪləti
civil	ˈsɪvl
civilly	ˈsɪvəli
clack	klæk
civvies	ˈsɪviz
claim	kleɪm
claimant	ˈkleɪmənt
clam	klæm
clamp	klæmp
clairvoyance	kleəˈvɔɪəns
clairvoyant	kleəˈvɔɪənt
clairvoyant	kleəˈvɔɪənt
clambake	ˈklæmbeɪk
clamber	ˈklæmbə(r)
clampdown	ˈklæmpdaʊn
clamour	ˈklæmə(r)
clan	klæn
clang	klæŋ
clamshell	ˈklæmʃel
clannish	ˈklænɪʃ
clangour	ˈklæŋɡə(r)
clangorous	ˈklæŋɡərəs
clandestine	klænˈdestɪn
clanger	ˈklæŋə(r)
clapboard	ˈklæpbɔːd
clank	klæŋk
claque	klæk
claret	ˈklærət
claptrap	ˈklæptræp
clapper	ˈklæpə(r)
clansman	ˈklænzmən
clansmen	ˈklænzmən
clarinettist	ˌklærəˈnetɪst
clash	klæʃ
clasp	klɑːsp
clarity	ˈklærəti
classicism	ˈklæsɪsɪzəm
classicist	ˈklæsɪsɪst
clarinet	ˌklærəˈnet
classic	ˈklæsɪk
classifiable	ˈklæsɪfaɪəbl
classification	ˌklæsɪfɪˈkeɪʃn
classified	ˈklæsɪfaɪd
classless	ˈklɑːsləs
classlessness	ˈklɑːsləsnəs
classifier	ˈklæsɪfaɪə(r)
classical	ˈklæsɪkl
classically	ˈklæsɪkli
class	klɑːs
clatter	ˈklætə(r)
claustrophobic	ˌklɔːstrəˈfəʊbɪk
classroom	ˈklɑːsruːm
classmate	ˈklɑːsmeɪt
claustrophobia	ˌklɔːstrəˈfəʊbiə
clavichord	ˈklævɪkɔːd
clavicle	ˈklævɪkl
claw	klɔː
clause	klɔːz
clave	kleɪv
claymore	ˈkleɪmɔː(r)
clayey	kleɪi
cleanliness	ˈklenlinəs
clay	kleɪ
cleanse	klenz
cleanser	ˈklenzə(r)
cleanly	ˈkliːnli
clearance	ˈklɪərəns
cleaning	ˈkliːnɪŋ
cleaver	ˈkliːvə(r)
cleat	kliːt
clearing	ˈklɪərɪŋ
cleavage	ˈkliːvɪdʒ
clearness	ˈklɪənəs
clearly	ˈklɪəli
clematis	ˈklemətɪs
cleft	kleft
clergyman	ˈklɜːdʒimən
clergymen	ˈklɜːdʒimən
clemency	ˈklemənsi
clench	klentʃ
clement	ˈklemənt
cleric	ˈklerɪk
clerical	ˈklerɪkl
clergywoman	ˈklɜːdʒiwʊmən
clergywomen	ˈklɜːdʒiwɪmɪn
clerk	klɑːk
clerihew	ˈklerɪhjuː
clergy	ˈklɜːdʒi
click	klɪk
cliche	ˈkliːʃeɪ
clichéd	ˈkliːʃeɪd
client	ˈklaɪənt
clientele	ˌkliːənˈtel
climactic	klaɪˈmæktɪk
cliffhanger	ˈklɪfhæŋə(r)
cliffhanging	ˈklɪfhæŋɪŋ
climax	ˈklaɪmæks
climatic	klaɪˈmætɪk
climatically	klaɪˈmætɪkli
clinch	klɪntʃ
climbing	ˈklaɪmɪŋ
cliff	klɪf
climate	ˈklaɪmət
cling	klɪŋ
clung	klʌŋ
clung	klʌŋ
clinging	ˈklɪŋɪŋ
clime	klaɪm
climber	ˈklaɪmə(r)
clincher	ˈklɪntʃə(r)
climb	klaɪm
clinic	ˈklɪnɪk
clink	klɪŋk
cline	klaɪn
clinician	klɪˈnɪʃn
clinical	ˈklɪnɪkl
clinically	ˈklɪnɪkli
clinker	ˈklɪŋkə(r)
clipped	klɪpt
clip	klɪp
clipper	ˈklɪpə(r)
clinometer	klaɪˈnɒmɪtə(r)
clipboard	ˈklɪpbɔːd
clipping	ˈklɪpɪŋ
clique	kliːk
clitic	ˈklɪtɪk
clitoris	ˈklɪtərɪs
clitoral	ˈklɪtərəl
cloak	kləʊk
clobber	ˈklɒbə(r)
clock	klɒk
cliquey	ˈkliːki
cloche	klɒʃ
clockwise	ˈklɒkwaɪz
clod	klɒd
cloakroom	ˈkləʊkruːm
clodhopper	ˈklɒdhɒpə(r)
clockwork	ˈklɒkwɜːk
clocker	ˈklɒkə(r)
clone	kləʊn
cloistered	ˈklɔɪstəd
cloister	ˈklɔɪstə(r)
clonk	klɒŋk
closeout	ˈkləʊzaʊt
closing	ˈkləʊzɪŋ
closure	ˈkləʊʒə(r)
clot	klɒt
clothes	kləʊðz
clothier	ˈkləʊðiə(r)
cloth	klɒθ
cloths	klɒθs
closet	ˈklɒzɪt
clothe	kləʊð
clothed	kləʊðd
cloudless	ˈklaʊdləs
close	kləʊz
closed	kləʊzd
cloverleaf	ˈkləʊvəliːf
clover	ˈkləʊvə(r)
clove	kləʊv
cloudburst	ˈklaʊdbɜːst
clout	klaʊt
clown	klaʊn
clothing	ˈkləʊðɪŋ
cloy	klɔɪ
clownish	ˈklaʊnɪʃ
cloying	ˈklɔɪɪŋ
cloyingly	ˈklɔɪɪŋli
cloud	klaʊd
clubbing	ˈklʌbɪŋ
clubber	ˈklʌbə(r)
cluck	klʌk
club	klʌb
clue	kluː
clubhouse	ˈklʌbhaʊs
clumpy	klʌmpi
clunk	klʌŋk
clump	klʌmp
clueless	ˈkluːləs
clunky	ˈklʌŋki
clutch	klʌtʃ
clung	klʌŋ
clunker	ˈklʌŋkə(r)
clutter	ˈklʌtə(r)
cluster	ˈklʌstə(r)
cluttered	ˈklʌtəd
coach	kəʊtʃ
coaching	ˈkəʊtʃɪŋ
coachwork	ˈkəʊtʃwɜːk
coachman	ˈkəʊtʃmən
coachmen	ˈkəʊtʃmən
coal	kəʊl
coalesce	ˌkəʊəˈles
coalescence	ˌkəʊəˈlesns
coalition	ˌkəʊəˈlɪʃn
coagulate	kəʊˈæɡjuleɪt
coagulation	kəʊˌæɡjuˈleɪʃn
coalfield	ˈkəʊlfiːld
coaming	ˈkəʊmɪŋ
coarsen	ˈkɔːsn
coast	kəʊst
coat	kəʊt
coastal	ˈkəʊstl
coaster	ˈkəʊstə(r)
coastline	ˈkəʊstlaɪn
coating	ˈkəʊtɪŋ
coati	kəʊˈɑːti
coatroom	ˈkəʊtruːm
cob	kɒb
cobalt	ˈkəʊbɔːlt
cobber	ˈkɒbə(r)
cobbler	ˈkɒblə(r)
cobble	ˈkɒbl
coax	kəʊks
coaxing	ˈkəʊksɪŋ
coaxingly	ˈkəʊksɪŋli
cobbled	ˈkɒbld
cobbles	ˈkɒblz
cocaine	kəʊˈkeɪn
cobra	ˈkəʊbrə
cobweb	ˈkɒbweb
cobwebbed	ˈkɒbwebd
coca	ˈkəʊkə
coccyx	ˈkɒksɪks
coccyxes	ˈkɒksɪdʒiːz
coccyges	ˈkɒksɪdʒiːz
cochineal	ˌkɒtʃɪˈniːl
cock	kɒk
cockatiel	ˌkɒkəˈtiːl
cochlea	ˈkɒkliə
cochleae	ˈkɒkliiː
cockamamie	ˈkɒkəmeɪmi
cockade	kɒˈkeɪd
cockerel	ˈkɒkərəl
cockchafer	ˈkɒktʃeɪfə(r)
cocker	ˈkɒkə(r)
cockfight	ˈkɒkfaɪt
cockfighting	ˈkɒkfaɪtɪŋ
cockle	ˈkɒkl
cockleshell	ˈkɒklʃel
cockeyed	ˈkɒkaɪd
cockcrow	ˈkɒkkrəʊ
cocoa	ˈkəʊkəʊ
cocksure	ˌkɒkˈʃʊə(r)
cocksucker	ˈkɒksʌkə(r)
cockroach	ˈkɒkrəʊtʃ
cockpit	ˈkɒkpɪt
cockney	ˈkɒkni
cocktail	ˈkɒkteɪl
coconut	ˈkəʊkənʌt
coda	ˈkəʊdə
cocooning	kəˈkuːnɪŋ
cocoon	kəˈkuːn
cocoyam	ˈkəʊkəʊjæm
coddle	ˈkɒdl
codeine	ˈkəʊdiːn
coded	ˈkəʊdɪd
code	kəʊd
codex	ˈkəʊdeks
codices	ˈkəʊdɪsiːz
codexes	ˈkəʊdɪsiːz
codicil	ˈkəʊdɪsɪl
codger	ˈkɒdʒə(r)
codpiece	ˈkɒdpiːs
coed	ˌkəʊˈed
codswallop	ˈkɒdzwɒləp
coelacanth	ˈsiːləkænθ
coefficient	ˌkəʊɪˈfɪʃnt
coerce	kəʊˈɜːs
coercive	kəʊˈɜːsɪv
coercion	kəʊˈɜːʃn
coexist	ˌkəʊɪɡˈzɪst
coeval	kəʊˈiːvl
coexistence	ˌkəʊɪɡˈzɪstəns
coffer	ˈkɒfə(r)
cog	kɒɡ
cogent	ˈkəʊdʒənt
cogency	ˈkəʊdʒənsi
cogently	ˈkəʊdʒəntli
coffin	ˈkɒfɪn
coffee	ˈkɒfi
cogitate	ˈkɒdʒɪteɪt
cogitation	ˌkɒdʒɪˈteɪʃn
cognate	ˈkɒɡneɪt
cognac	ˈkɒnjæk
cognitive	ˈkɒɡnətɪv
cognition	kɒɡˈnɪʃn
cognoscenti	ˌkɒnjəˈʃenti
cohere	kəʊˈhɪə(r)
coherence	kəʊˈhɪərəns
coherent	kəʊˈhɪərənt
coherently	kəʊˈhɪərəntli
cogwheel	ˈkɒɡwiːl
cohabit	kəʊˈhæbɪt
cohabitation	ˌkəʊˌhæbɪˈteɪʃn
cohort	ˈkəʊhɔːt
cohesive	kəʊˈhiːsɪv
cohesiveness	kəʊˈhiːsɪvnəs
cohesion	kəʊˈhiːʒn
coil	kɔɪl
coincide	ˌkəʊɪnˈsaɪd
coiffure	kwɑːˈfjʊə(r)
coinage	ˈkɔɪnɪdʒ
coincidence	kəʊˈɪnsɪdəns
coincident	kəʊˈɪnsɪdənt
coincidental	kəʊˌɪnsɪˈdentl
coincidentally	kəʊˌɪnsɪˈdentəli
coin	kɔɪn
coir	ˈkɔɪə(r)
coitus	ˈkɔɪtəs
colander	ˈkʌləndə(r)
coke	kəʊk
colcannon	kɒlˈkænən
coldly	ˈkəʊldli
coldness	ˈkəʊldnəs
cola	ˈkəʊlə
coleopterist	ˌkɒliˈɒptərɪst
collaboration	kəˌlæbəˈreɪʃn
collaborate	kəˈlæbəreɪt
colitis	kəˈlaɪtɪs
collage	ˈkɒlɑːʒ
collagen	ˈkɒlədʒən
collaborator	kəˈlæbəreɪtə(r)
collaborative	kəˈlæbərətɪv
collaboratively	kəˈlæbərətɪvli
collapsible	kəˈlæpsəbl
collateral	kəˈlætərəl
collarbone	ˈkɒləbəʊn
collect	kəˈlekt
collar	ˈkɒlə(r)
collarless	ˈkɒlələs
collectable	kəˈlektəbl
colleague	ˈkɒliːɡ
collate	kəˈleɪt
collation	kəˈleɪʃn
collective	kəˈlektɪv
collectively	kəˈlektɪvli
collectivism	kəˈlektɪvɪzəm
collectivist	kəˈlektɪvɪst
collected	kəˈlektɪd
collector	kəˈlektə(r)
colleen	kɒˈliːn
collectivize	kəˈlektɪvaɪz
collectivization	kəˌlektɪvaɪˈzeɪʃn
collegiate	kəˈliːdʒiət
collie	ˈkɒli
collider	kəˈlaɪdə(r)
collide	kəˈlaɪd
collection	kəˈlekʃn
colligate	ˈkɒlɪɡeɪt
collier	ˈkɒliə(r)
collision	kəˈlɪʒn
college	ˈkɒlɪdʒ
collocation	ˌkɒləˈkeɪʃn
colloquialism	kəˈləʊkwiəlɪzəm
colloquial	kəˈləʊkwiəl
colloquially	kəˈləʊkwiəli
collywobbles	ˈkɒliwɒblz
collocate	ˈkɒləkeɪt
collocate	ˈkɒləkət
colobus	ˈkɒləbəs
colon	ˈkəʊlən
colonel	ˈkɜːnl
collusion	kəˈluːʒn
collusive	kəˈluːsɪv
colloquium	kəˈləʊkwiəm
colloquia	kəˈləʊkwiə
collude	kəˈluːd
colonial	kəˈləʊniəl
cologne	kəˈləʊn
colonialism	kəˈləʊniəlɪzəm
colonialist	kəˈləʊniəlɪst
colonize	ˈkɒlənaɪz
colonization	ˌkɒlənaɪˈzeɪʃn
colonizer	ˈkɒlənaɪzə(r)
colonnade	ˌkɒləˈneɪd
colonnaded	ˌkɒləˈneɪdɪd
colonic	kəˈlɒnɪk
colonist	ˈkɒlənɪst
coloration	ˌkʌləˈreɪʃn
coloratura	ˌkɒlərəˈtʊərə
colophon	ˈkɒləfən
colossal	kəˈlɒsl
coloured	ˈkʌləd
colour	ˈkʌlə(r)
colorize	ˈkʌləraɪz
colossus	kəˈlɒsəs
colossi	kəˈlɒsaɪ
colostrum	kəˈlɒstrəm
colt	kəʊlt
column	ˈkɒləm
coltish	ˈkəʊltɪʃ
colouring	ˈkʌlərɪŋ
columbine	ˈkɒləmbaɪn
columnist	ˈkɒləmnɪst
combat	ˈkɒmbæt
coma	ˈkəʊmə
combative	ˈkɒmbətɪv
comatose	ˈkəʊmətəʊs
combatant	ˈkɒmbətənt
combats	ˈkɒmbæts
combine	kəmˈbaɪn
comb	kəʊm
combustion	kəmˈbʌstʃən
come	kʌm
came	keɪm
come	keɪm
combustible	kəmˈbʌstəbl
comedown	ˈkʌmdaʊn
combust	kəmˈbʌst
comely	ˈkʌmli
comeback	ˈkʌmbæk
comer	ˈkʌmə(r)
combination	ˌkɒmbɪˈneɪʃn
comeuppance	kʌmˈʌpəns
comedienne	kəˌmiːdiˈen
comfort	ˈkʌmfət
comestible	kəˈmestɪbl
comedian	kəˈmiːdiən
comfit	ˈkʌmfɪt
comfortably	ˈkʌmftəbli
comic	ˈkɒmɪk
comet	ˈkɒmɪt
comfrey	ˈkʌmfri
comforting	ˈkʌmfətɪŋ
comfortingly	ˈkʌmfətɪŋli
coming	ˈkʌmɪŋ
comfortless	ˈkʌmfətləs
comical	ˈkɒmɪkl
comically	ˈkɒmɪkli
comforter	ˈkʌmfətə(r)
commanding	kəˈmɑːndɪŋ
commandment	kəˈmɑːndmənt
commemorate	kəˈmeməreɪt
comma	ˈkɒmə
commemoration	kəˌmeməˈreɪʃn
commandeer	ˌkɒmənˈdɪə(r)
commander	kəˈmɑːndə(r)
comfortable	ˈkʌmftəbl
commensal	kəˈmensl
commensalism	kəˈmenslɪzəm
commemorative	kəˈmemərətɪv
commandant	ˈkɒməndænt
command	kəˈmɑːnd
comment	ˈkɒment
commensurate	kəˈmenʃərət
commensurately	kəˈmenʃərətli
commence	kəˈmens
commencement	kəˈmensmənt
commendable	kəˈmendəbl
commendably	kəˈmendəbli
commend	kəˈmend
commendation	ˌkɒmenˈdeɪʃn
commentator	ˈkɒmənteɪtə(r)
commercialize	kəˈmɜːʃəlaɪz
commercialization	kəˌmɜːʃəlaɪˈzeɪʃn
commentate	ˈkɒmənteɪt
commingle	kəˈmɪŋɡl
commercialism	kəˈmɜːʃəlɪzəm
commie	ˈkɒmi
commerce	ˈkɒmɜːs
commissar	ˌkɒmɪˈsɑː(r)
commissionaire	kəˌmɪʃəˈneə(r)
commitment	kəˈmɪtmənt
committal	kəˈmɪtl
committed	kəˈmɪtɪd
commission	kəˈmɪʃn
commercial	kəˈmɜːʃl
commercially	kəˈmɜːʃəli
commode	kəˈməʊd
committee	kəˈmɪti
commiseration	kəˌmɪzəˈreɪʃn
commissariat	ˌkɒmɪˈseəriət
commiserate	kəˈmɪzəreɪt
commissioner	kəˈmɪʃənə(r)
commonplace	ˈkɒmənpleɪs
commodious	kəˈməʊdiəs
commodore	ˈkɒmədɔː(r)
commotion	kəˈməʊʃn
commonwealth	ˈkɒmənwelθ
communalism	kəˈmjuːnəlɪzəm
commune	ˈkɒmjuːn
commoner	ˈkɒmənə(r)
commonly	ˈkɒmənli
commons	ˈkɒmənz
communicable	kəˈmjuːnɪkəbl
communication	kəˌmjuːnɪˈkeɪʃn
communique	kəˈmjuːnɪkeɪ
communicate	kəˈmjuːnɪkeɪt
communicant	kəˈmjuːnɪkənt
communion	kəˈmjuːniən
communist	ˈkɒmjənɪst
communism	ˈkɒmjunɪzəm
communicative	kəˈmjuːnɪkətɪv
commute	kəˈmjuːt
communicator	kəˈmjuːnɪkeɪtə(r)
commutable	kəˈmjuːtəbl
comp	kɒmp
commutative	kəˈmjuːtətɪv
commuter	kəˈmjuːtə(r)
commutator	ˈkɒmjuteɪtə(r)
commutation	ˌkɒmjuˈteɪʃn
compadre	kɒmˈpɑːdreɪ
comparable	ˈkɒmpərəbl
comparability	ˌkɒmpərəˈbɪləti
comparative	kəmˈpærətɪv
companionship	kəmˈpæniənʃɪp
compare	kəmˈpeə(r)
companionway	kəmˈpæniənweɪ
comparatively	kəmˈpærətɪvli
companion	kəmˈpæniən
companionable	kəmˈpæniənəbl
companionably	kəmˈpæniənəbli
compartment	kəmˈpɑːtmənt
compassionate	kəmˈpæʃənət
compassionately	kəmˈpæʃənətli
compass	ˈkʌmpəs
compassion	kəmˈpæʃn
compatibility	kəmˌpætəˈbɪləti
compartmentalize	ˌkɒmpɑːtˈmentəlaɪz
compatible	kəmˈpætəbl
compatibly	kəmˈpætəbli
compendious	kəmˈpendiəs
compendium	kəmˈpendiəm
compendia	kəmˈpendiə
compendiums	kəmˈpendiə
compete	kəmˈpiːt
compelling	kəmˈpelɪŋ
compellingly	kəmˈpelɪŋli
compatriot	kəmˈpætriət
comparison	kəmˈpærɪsn
competent	ˈkɒmpɪtənt
competently	ˈkɒmpɪtəntli
compere	ˈkɒmpeə(r)
competitive	kəmˈpetətɪv
competitively	kəmˈpetətɪvli
competitiveness	kəmˈpetətɪvnəs
compilation	ˌkɒmpɪˈleɪʃn
compiler	kəmˈpaɪlə(r)
compensation	ˌkɒmpenˈseɪʃn
complacency	kəmˈpleɪsnsi
compensate	ˈkɒmpenseɪt
compensatory	ˌkɒmpenˈseɪtəri
complacent	kəmˈpleɪsnt
complacently	kəmˈpleɪsntli
compile	kəmˈpaɪl
competence	ˈkɒmpɪtəns
complaisant	kəmˈpleɪzənt
complaisance	kəmˈpleɪzəns
competitor	kəmˈpetɪtə(r)
complected	kəmˈplektɪd
completely	kəmˈpliːtli
complex	ˈkɒmpleks
complement	ˈkɒmplɪment
completion	kəmˈpliːʃn
complaint	kəmˈpleɪnt
complementation	ˌkɒmplɪmenˈteɪʃn
complementizer	ˈkɒmplɪməntaɪzə(r)
complexion	kəmˈplekʃn
complementary	ˌkɒmplɪˈmentri
complexity	kəmˈpleksəti
complication	ˌkɒmplɪˈkeɪʃn
complain	kəmˈpleɪn
competition	ˌkɒmpəˈtɪʃn
compliant	kəmˈplaɪənt
complicity	kəmˈplɪsəti
complicated	ˈkɒmplɪkeɪtɪd
compliance	kəmˈplaɪəns
complicate	ˈkɒmplɪkeɪt
complete	kəmˈpliːt
completeness	kəmˈpliːtnəs
complicit	kəmˈplɪsɪt
complimentary	ˌkɒmplɪˈmentri
comport	kəmˈpɔːt
compliment	ˈkɒmplɪmənt
composite	ˈkɒmpəzɪt
composer	kəmˈpəʊzə(r)
comportment	kəmˈpɔːtmənt
compo	ˈkɒmpəʊ
compound	ˈkɒmpaʊnd
compose	kəmˈpəʊz
compost	ˈkɒmpɒst
compositor	kəmˈpɒzɪtə(r)
component	kəmˈpəʊnənt
composition	ˌkɒmpəˈzɪʃn
compote	ˈkɒmpɒt
composed	kəmˈpəʊzd
comprehensive	ˌkɒmprɪˈhensɪv
comprehensiveness	ˌkɒmprɪˈhensɪvnəs
comprehension	ˌkɒmprɪˈhenʃn
composure	kəmˈpəʊʒə(r)
compress	kəmˈpres
compression	kəmˈpreʃn
comprehend	ˌkɒmprɪˈhend
comprehensible	ˌkɒmprɪˈhensəbl
comprehensibility	ˌkɒmprɪˌhensəˈbɪləti
compressor	kəmˈpresə(r)
comprise	kəmˈpraɪz
comprehensively	ˌkɒmprɪˈhensɪvli
compromise	ˈkɒmprəmaɪz
comptroller	kənˈtrəʊlə(r)
compulsion	kəmˈpʌlʃn
compulsive	kəmˈpʌlsɪv
compulsively	kəmˈpʌlsɪvli
compunction	kəmˈpʌŋkʃn
compromising	ˈkɒmprəmaɪzɪŋ
computational	ˌkɒmpjuˈteɪʃənl
compute	kəmˈpjuːt
computable	kəmˈpjuːtəbl
computer	kəmˈpjuːtə(r)
computation	ˌkɒmpjuˈteɪʃn
computerize	kəmˈpjuːtəraɪz
computerization	kəmˌpjuːtəraɪˈzeɪʃn
compulsory	kəmˈpʌlsəri
compulsorily	kəmˈpʌlsərəli
conation	kəˈneɪʃn
conative	ˈkɒnətɪv
comrade	ˈkɒmreɪd
comradely	ˈkɒmreɪdli
comradeship	ˈkɒmreɪdʃɪp
concatenation	kənˌkætəˈneɪʃn
concealment	kənˈsiːlmənt
computing	kəmˈpjuːtɪŋ
concave	kɒnˈkeɪv
concede	kənˈsiːd
conceivable	kənˈsiːvəbl
conceivably	kənˈsiːvəbli
concealer	kənˈsiːlə(r)
conceal	kənˈsiːl
conceited	kənˈsiːtɪd
conceitedly	kənˈsiːtɪdli
conceit	kənˈsiːt
concentric	kənˈsentrɪk
concentration	ˌkɒnsnˈtreɪʃn
concentrate	ˈkɒnsntreɪt
conceive	kənˈsiːv
conceptual	kənˈseptʃuəl
conceptually	kənˈseptʃuəli
conceptualism	kənˈseptʃuəlɪzəm
conceptualist	kənˈseptʃuəlɪst
conception	kənˈsepʃn
concentrated	ˈkɒnsntreɪtɪd
concept	ˈkɒnsept
concerned	kənˈsɜːnd
concerning	kənˈsɜːnɪŋ
concertgoer	ˈkɒnsətɡəʊə(r)
conceptualize	kənˈseptʃuəlaɪz
concerted	kənˈsɜːtɪd
concertmaster	ˈkɒnsətmɑːstə(r)
concessionary	kənˈseʃənəri
concertina	ˌkɒnsəˈtiːnə
conch	kɒntʃ
concessionaire	kənˌseʃəˈneə(r)
concert	ˈkɒnsət
concessive	kənˈsesɪv
concern	kənˈsɜːn
conciliatory	kənˈsɪliətəri
concession	kənˈseʃn
conciliate	kənˈsɪlieɪt
conciliation	kənˌsɪliˈeɪʃn
concise	kənˈsaɪs
concisely	kənˈsaɪsli
conciseness	kənˈsɪʒn
conciliator	kənˈsɪlieɪtə(r)
concierge	ˈkɒnsieəʒ
conclude	kənˈkluːd
conclusion	kənˈkluːʒn
conclusive	kənˈkluːsɪv
conclusively	kənˈkluːsɪvli
concoct	kənˈkɒkt
concomitant	kənˈkɒmɪtənt
conclave	ˈkɒŋkleɪv
concrete	ˈkɒŋkriːt
concretely	ˈkɒŋkriːtli
concordance	kənˈkɔːdəns
concoction	kənˈkɒkʃn
concord	ˈkɒŋkɔːd
concurrent	kənˈkʌrənt
concurrently	kənˈkʌrəntli
concourse	ˈkɒŋkɔːs
concordat	kənˈkɔːdæt
concubine	ˈkɒŋkjubaɪn
concurrence	kənˈkʌrəns
condemn	kənˈdem
condemnation	ˌkɒndemˈneɪʃn
condescend	ˌkɒndɪˈsend
condescension	ˌkɒndɪˈsenʃn
concupiscence	kənˈkjuːpɪsns
concussion	kənˈkʌʃn
condenser	kənˈdensə(r)
condescending	ˌkɒndɪˈsendɪŋ
condescendingly	ˌkɒndɪˈsendɪŋli
condition	kənˈdɪʃn
condensation	ˌkɒndenˈseɪʃn
condense	kənˈdens
condom	ˈkɒndɒm
condign	kənˈdaɪn
conditional	kənˈdɪʃənl
conditionally	kənˈdɪʃənəli
condiment	ˈkɒndɪmənt
conditioning	kənˈdɪʃənɪŋ
condominium	ˌkɒndəˈmɪniəm
condone	kənˈdəʊn
conditioner	kənˈdɪʃənə(r)
conductance	kənˈdʌktəns
condolence	kənˈdəʊləns
conduction	kənˈdʌkʃn
condor	ˈkɒndɔː(r)
conducive	kənˈdjuːsɪv
conductive	kənˈdʌktɪv
conductivity	ˌkɒndʌkˈtɪvəti
conductress	kənˈdʌktrəs
conduit	ˈkɒndjuɪt
conduct	kənˈdʌkt
cone	kəʊn
confabulation	kənˌfæbjəˈleɪʃn
conductor	kənˈdʌktə(r)
confection	kənˈfekʃn
confab	ˈkɒnfæb
confectionery	kənˈfekʃənəri
conferment	kənˈfɜːmənt
confectioner	kənˈfekʃənə(r)
confederation	kənˌfedəˈreɪʃn
confederacy	kənˈfedərəsi
confederate	kənˈfedərət
conferencing	ˈkɒnfərənsɪŋ
conference	ˈkɒnfərəns
confess	kənˈfes
confession	kənˈfeʃn
confetti	kənˈfeti
