a	eɪ
eloquence	ˈeləkwəns
else	els
elope	ɪˈləʊp
elopement	ɪˈləʊpmənt
elsewhere	ˌelsˈweə(r)
elongated	ˈiːlɒŋɡeɪtɪd
elt	ˌiː el ˈtiː
elude	iˈluːd
elucidate	iˈluːsɪdeɪt
elucidation	iˌluːsɪˈdeɪʃn
em	ɪm
elusive	iˈluːsɪv
elusively	iˈluːsɪvli
elves	elvz
emancipate	ɪˈmænsɪpeɪt
emasculate	iˈmæskjuleɪt
emasculation	iˌmæskjuˈleɪʃn
emanate	ˈeməneɪt
emanation	ˌeməˈneɪʃn
embankment	ɪmˈbæŋkmənt
embarrassing	ɪmˈbærəsɪŋ
embarrassingly	ɪmˈbærəsɪŋli
embalm	ɪmˈbɑːm
embalmer	ɪmˈbɑːmə(r)
elver	ˈelvə(r)
embargo	ɪmˈbɑːɡəʊ
embark	ɪmˈbɑːk
embarkation	ˌembɑːˈkeɪʃn
emaciated	ɪˈmeɪʃieɪtɪd
emaciation	ɪˌmeɪsiˈeɪʃn
embarrass	ɪmˈbærəs
embarrassed	ɪmˈbærəst
embezzle	ɪmˈbezl
embezzlement	ɪmˈbezlmənt
emblematic	ˌembləˈmætɪk
emblem	ˈembləm
embarrassment	ɪmˈbærəsmənt
embed	ɪmˈbed
ember	ˈembə(r)
embitter	ɪmˈbɪtə(r)
embody	ɪmˈbɒdi
emblazon	ɪmˈbleɪzn
embolus	ˈembələs
emboli	ˈembəlaɪ
emboli	ˈembəliː
embrace	ɪmˈbreɪs
embolism	ˈembəlɪzəm
emboss	ɪmˈbɒs
embouchure	ˌɒmbʊˈʃʊə(r)
embolden	ɪmˈbəʊldən
embodiment	ɪmˈbɒdimənt
embrasure	ɪmˈbreɪʒə(r)
embroider	ɪmˈbrɔɪdə(r)
embrocation	ˌembrəˈkeɪʃn
embryo	ˈembriəʊ
emcee	emˈsiː
embroil	ɪmˈbrɔɪl
embryonic	ˌembriˈɒnɪk
embryology	ˌembriˈɒlədʒi
embryological	ˌembriəˈlɒdʒɪkl
emerge	iˈmɜːdʒ
emergence	iˈmɜːdʒəns
emergency	iˈmɜːdʒənsi
emergent	iˈmɜːdʒənt
embroidery	ɪmˈbrɔɪdəri
emery	ˈeməri
emigrate	ˈemɪɡreɪt
emigration	ˌemɪˈɡreɪʃn
emir	eˈmɪə(r)
emirate	ˈemɪərət
emit	iˈmɪt
eminent	ˈemɪnənt
emigrant	ˈemɪɡrənt
emissary	ˈemɪsəri
emendation	ˌiːmenˈdeɪʃn
emeritus	iˈmerɪtəs
eminence	ˈemɪnəns
emetic	iˈmetɪk
emerald	ˈemərəld
emollient	iˈmɒliənt
emission	iˈmɪʃn
eminently	ˈemɪnəntli
emend	iˈmend
emotion	ɪˈməʊʃn
emotional	ɪˈməʊʃənl
emotionally	ɪˈməʊʃənəli
emphasis	ˈemfəsɪs
emphases	ˈemfəsiːz
emphasize	ˈemfəsaɪz
emotionless	ɪˈməʊʃənləs
empathize	ˈempəθaɪz
emote	ɪˈməʊt
emolument	ɪˈmɒljumənt
emphatic	ɪmˈfætɪk
emphatically	ɪmˈfætɪkli
emphysema	ˌemfɪˈsiːmə
emotive	iˈməʊtɪv
emoticon	ɪˈməʊtɪkɒn
empathy	ˈempəθi
empiricism	ɪmˈpɪrɪsɪzəm
empiricist	ɪmˈpɪrɪsɪst
employer	ɪmˈplɔɪə(r)
employee	ɪmˈplɔɪiː
employ	ɪmˈplɔɪ
empirical	ɪmˈpɪrɪkl
empirically	ɪmˈpɪrɪkli
empty	ˈempti
emptiness	ˈemptinəs
emporium	emˈpɔːriəm
emporia	emˈpɔːriə
empties	ˈemptiz
employable	ɪmˈplɔɪəbl
emplacement	ɪmˈpleɪsmənt
empress	ˈemprəs
employment	ɪmˈplɔɪmənt
empire	ˈempaɪə(r)
emulsifier	ɪˈmʌlsɪfaɪə(r)
enable	ɪˈneɪbl
emulsion	ɪˈmʌlʃn
emulate	ˈemjuleɪt
emulation	ˌemjuˈleɪʃn
enamel	ɪˈnæml
en	ɪn
emu	ˈiːmjuː
emulator	ˈemjuleɪtə(r)
enabled	ɪˈneɪbld
enamelled	ɪˈnæmld
enact	ɪˈnækt
emulsify	ɪˈmʌlsɪfaɪ
enactment	ɪˈnæktmənt
enamoured	ɪˈnæməd
encase	ɪnˈkeɪs
encampment	ɪnˈkæmpmənt
encash	ɪnˈkæʃ
encashment	ɪnˈkæʃmənt
encamp	ɪnˈkæmp
encephalopathy	enˌsefəˈlɒpəθi
enchant	ɪnˈtʃɑːnt
enchantress	ɪnˈtʃɑːntrəs
enchanted	ɪnˈtʃɑːntɪd
enchanting	ɪnˈtʃɑːntɪŋ
enchantingly	ɪnˈtʃɑːntɪŋli
encapsulate	ɪnˈkæpsjuleɪt
enchanter	ɪnˈtʃɑːntə(r)
encircle	ɪnˈsɜːkl
encirclement	ɪnˈsɜːklmənt
enclave	ˈenkleɪv
encore	ˈɒŋkɔː(r)
enclose	ɪnˈkləʊz
encephalitis	enˌsefəˈlaɪtəs
enchantment	ɪnˈtʃɑːntmənt
enclosed	ɪnˈkləʊzd
encomium	enˈkəʊmiəm
encomia	enˈkəʊmiə
encounter	ɪnˈkaʊntə(r)
enchilada	ˌentʃɪˈlɑːdə
encouragement	ɪnˈkʌrɪdʒmənt
encompass	ɪnˈkʌmpəs
encroach	ɪnˈkrəʊtʃ
encroachment	ɪnˈkrəʊtʃmənt
encode	ɪnˈkəʊd
encrusted	ɪnˈkrʌstɪd
encourage	ɪnˈkʌrɪdʒ
encouraging	ɪnˈkʌrɪdʒɪŋ
encyclical	ɪnˈsɪklɪkl
end	end
encrustation	ˌenkrʌˈsteɪʃn
enclitic	ɪnˈklɪtɪk
endanger	ɪnˈdeɪndʒə(r)
encrypt	ɪnˈkrɪpt
encryption	ɪnˈkrɪpʃn
encumber	ɪnˈkʌmbə(r)
endeavour	ɪnˈdevə(r)
encumbrance	ɪnˈkʌmbrəns
endear	ɪnˈdɪə(r)
encyclopedia	ɪnˌsaɪkləˈpiːdiə
endearment	ɪnˈdɪəmənt
encyclopedic	ɪnˌsaɪkləˈpiːdɪk
endgame	ˈendɡeɪm
ending	ˈendɪŋ
endemic	enˈdemɪk
endocrinology	ˌendəʊkrɪˈnɒlədʒi
endocrinologist	ˌendəʊkrɪˈnɒlədʒɪst
endearing	ɪnˈdɪərɪŋ
endearingly	ɪnˈdɪərɪŋli
endoplasm	ˈendəʊplæzəm
endless	ˈendləs
endlessly	ˈendləsli
endocrine	ˈendəʊkrɪn
endogenous	enˈdɒdʒənəs
endogamy	enˈdɒɡəmi
endorphin	enˈdɔːfɪn
endoscopy	enˈdɒskəpi
endow	ɪnˈdaʊ
endothermic	ˌendəʊˈθɜːmɪk
endure	ɪnˈdjʊə(r)
endurable	ɪnˈdjʊərəbl
enduring	ɪnˈdjʊərɪŋ
enduringly	ɪnˈdjʊərɪŋli
energetic	ˌenəˈdʒetɪk
energetically	ˌenəˈdʒetɪkli
endoskeleton	ˈendəʊskelɪtn
endorse	ɪnˈdɔːs
endoscope	ˈendəskəʊp
endowment	ɪnˈdaʊmənt
endorsement	ɪnˈdɔːsmənt
energize	ˈenədʒaɪz
enema	ˈenəmə
enemy	ˈenəmi
endpaper	ˈendpeɪpə(r)
endive	ˈendaɪv
energy	ˈenədʒi
enervate	ˈenəveɪt
enervation	ˌenəˈveɪʃn
enfeeble	ɪnˈfiːbl
endomorph	ˈendəʊmɔːf
endways	ˈendweɪz
enforcer	ɪnˈfɔːsə(r)
enfold	ɪnˈfəʊld
engaged	ɪnˈɡeɪdʒd
engine	ˈendʒɪn
engage	ɪnˈɡeɪdʒ
engineer	ˌendʒɪˈnɪə(r)
engineering	ˌendʒɪˈnɪərɪŋ
engender	ɪnˈdʒendə(r)
engaging	ɪnˈɡeɪdʒɪŋ
engagingly	ɪnˈɡeɪdʒɪŋli
engagement	ɪnˈɡeɪdʒmənt
engorge	ɪnˈɡɔːdʒ
engrave	ɪnˈɡreɪv
engrossed	ɪnˈɡrəʊst
enhancer	ɪnˈhɑːnsə(r)
engross	ɪnˈɡrəʊs
engrossing	ɪnˈɡrəʊsɪŋ
engraving	ɪnˈɡreɪvɪŋ
enhance	ɪnˈhɑːns
engraver	ɪnˈɡreɪvə(r)
engulf	ɪnˈɡʌlf
enigmatic	ˌenɪɡˈmætɪk
enigmatically	ˌenɪɡˈmætɪkli
enjoy	ɪnˈdʒɔɪ
enjoin	ɪnˈdʒɔɪn
enigma	ɪˈnɪɡmə
enjambement	ɪnˈdʒæmbmənt
enlarge	ɪnˈlɑːdʒ
enlisted	ɪnˈlɪstɪd
enlighten	ɪnˈlaɪtn
enlightening	ɪnˈlaɪtnɪŋ
enlightenment	ɪnˈlaɪtnmənt
enmity	ˈenməti
enlightened	ɪnˈlaɪtnd
ennui	ɒnˈwiː
enjoyable	ɪnˈdʒɔɪəbl
enjoyably	ɪnˈdʒɔɪəbli
enmesh	ɪnˈmeʃ
ennoble	ɪˈnəʊbl
ennoblement	ɪˈnəʊblmənt
enlist	ɪnˈlɪst
enlistment	ɪnˈlɪstmənt
enliven	ɪnˈlaɪvn
enlarger	ɪnˈlɑːdʒə(r)
enjoyment	ɪnˈdʒɔɪmənt
enlargement	ɪnˈlɑːdʒmənt
enough	ɪˈnʌf
enraptured	ɪnˈræptʃəd
enquirer	ɪnˈkwaɪərə(r)
enrapture	ɪnˈræptʃə(r)
enquiring	ɪnˈkwaɪərɪŋ
enquiringly	ɪnˈkwaɪərɪŋli
enquire	ɪnˈkwaɪə(r)
enology	iːˈnɒlədʒi
enormously	ɪˈnɔːməsli
enrich	ɪnˈrɪtʃ
enrichment	ɪnˈrɪtʃmənt
enrol	ɪnˈrəʊl
enormous	ɪˈnɔːməs
enquiry	ɪnˈkwaɪəri
ensconce	ɪnˈskɒns
enormity	ɪˈnɔːməti
ensemble	ɒnˈsɒmbl
enrolment	ɪnˈrəʊlmənt
enshrine	ɪnˈʃraɪn
ensign	ˈensən
enshroud	ɪnˈʃraʊd
ensnare	ɪnˈsneə(r)
entail	ɪnˈteɪl
entangle	ɪnˈtæŋɡl
ensure	ɪnˈʃʊə(r)
enter	ˈentə(r)
ensue	ɪnˈsjuː
ensuing	ɪnˈsjuːɪŋ
entente	ɒnˈtɒnt
enslave	ɪnˈsleɪv
enslavement	ɪnˈsleɪvmənt
enteritis	ˌentəˈraɪtəs
enteric	enˈterɪk
entanglement	ɪnˈtæŋɡlmənt
enterprise	ˈentəpraɪz
entertainer	ˌentəˈteɪnə(r)
entertain	ˌentəˈteɪn
enthral	ɪnˈθrɔːl
enthralling	ɪnˈθrɔːlɪŋ
enterprising	ˈentəpraɪzɪŋ
enthuse	ɪnˈθjuːz
entirely	ɪnˈtaɪəli
entire	ɪnˈtaɪə(r)
entomb	ɪnˈtuːm
entitlement	ɪnˈtaɪtlmənt
enthusiasm	ɪnˈθjuːziæzəm
entity	ˈentəti
entitle	ɪnˈtaɪtl
entirety	ɪnˈtaɪərəti
entrails	ˈentreɪlz
entrapment	ɪnˈtræpmənt
entrance	ˈentrəns
enthusiastic	ɪnˌθjuːziˈæstɪk
enthusiastically	ɪnˌθjuːziˈæstɪkli
entice	ɪnˈtaɪs
enticement	ɪnˈtaɪsmənt
entertaining	ˌentəˈteɪnɪŋ
entertainingly	ˌentəˈteɪnɪŋli
entrepreneur	ˌɒntrəprəˈnɜː(r)
entrepreneurial	ˌɒntrəprəˈnɜːriəl
entomology	ˌentəˈmɒlədʒi
entomological	ˌentəməˈlɒdʒɪkl
entrant	ˈentrənt
entrench	ɪnˈtrentʃ
entrap	ɪnˈtræp
entreat	ɪnˈtriːt
enthusiast	ɪnˈθjuːziæst
enthrone	ɪnˈθrəʊn
enthronement	ɪnˈθrəʊnmənt
enticing	ɪnˈtaɪsɪŋ
enticingly	ɪnˈtaɪsɪŋli
entreaty	ɪnˈtriːti
entropy	ˈentrəpi
entropic	enˈtrɒpɪk
entropic	enˈtrəʊpɪk
entrenchment	ɪnˈtrentʃmənt
entrust	ɪnˈtrʌst
entwine	ɪnˈtwaɪn
entry	ˈentri
enunciate	ɪˈnʌnsieɪt
enunciation	ɪˌnʌnsiˈeɪʃn
entrepot	ˈɒntrəpəʊ
entourage	ˈɒnturɑːʒ
envelop	ɪnˈveləp
envelopment	ɪnˈveləpmənt
enuresis	ˌenjʊəˈriːsɪs
entertainment	ˌentəˈteɪnmənt
enumerate	ɪˈnjuːməreɪt
enumeration	ɪˌnjuːməˈreɪʃn
enviable	ˈenviəbl
enviably	ˈenviəbli
envious	ˈenviəs
enviously	ˈenviəsli
envoi	ˈenvɔɪ
environmental	ɪnˌvaɪrənˈmentl
environmentally	ɪnˌvaɪrənˈmentəli
environment	ɪnˈvaɪrənmənt
environmentalist	ɪnˌvaɪrənˈmentəlɪst
envoy	ˈenvɔɪ
envelope	ˈenvələʊp
enzyme	ˈenzaɪm
envision	ɪnˈvɪʒn
envy	ˈenvi
environs	ɪnˈvaɪrənz
epaulette	ˈepəlet
ephemeral	ɪˈfemərəl
eon	ˈiːən
ephemera	ɪˈfemərə
epicentre	ˈepɪsentə(r)
epicure	ˈepɪkjʊə(r)
epidemic	ˌepɪˈdemɪk
epic	ˈepɪk
epidermis	ˌepɪˈdɜːmɪs
epidemiology	ˌepɪˌdiːmiˈɒlədʒi
epidemiological	ˌepɪˌdiːmiəˈlɒdʒɪkl
epiglottis	ˌepɪˈɡlɒtɪs
epidural	ˌepɪˈdjʊərəl
epicene	ˈepɪsiːn
epigram	ˈepɪɡræm
epigrammatic	ˌepɪɡrəˈmætɪk
epigraph	ˈepɪɡrɑːf
epilation	ˌepɪˈleɪʃn
epilogue	ˈepɪlɒɡ
episcopacy	ɪˈpɪskəpəsi
episcopate	ɪˈpɪskəpət
episcopal	ɪˈpɪskəpl
episiotomy	ɪˌpiːsiˈɒtəmi
episode	ˈepɪsəʊd
epistemic	ˌepɪˈstiːmɪk
epistle	ɪˈpɪsl
epilepsy	ˈepɪlepsi
epileptic	ˌepɪˈleptɪk
episcopalian	ɪˌpɪskəˈpeɪliən
epistemology	ɪˌpɪstəˈmɒlədʒi
epitaph	ˈepɪtɑːf
episodic	ˌepɪˈsɒdɪk
epistolary	ɪˈpɪstələri
epitomize	ɪˈpɪtəmaɪz
epithet	ˈepɪθet
epitome	ɪˈpɪtəmi
epoch	ˈiːpɒk
equal	ˈiːkwəl
equalize	ˈiːkwəlaɪz
equalization	ˌiːkwəlaɪˈzeɪʃn
equality	iˈkwɒləti
eponymous	ɪˈpɒnɪməs
epoxy	ɪˈpɒksi
eponym	ˈepənɪm
equanimity	ˌekwəˈnɪməti
equation	ɪˈkweɪʒn
equable	ˈekwəbl
equably	ˈekwəbli
epsilon	ˈepsɪlɒn
equerry	ɪˈkweri
equalizer	ˈiːkwəlaɪzər
equestrianism	ɪˈkwestriənɪzəm
equidistant	ˌiːkwɪˈdɪstənt
equestrian	ɪˈkwestriən
equine	ˈekwaɪn
equator	ɪˈkweɪtə(r)
equate	iˈkweɪt
equatorial	ˌekwəˈtɔːriəl
equip	ɪˈkwɪp
equilibrium	ˌiːkwɪˈlɪbriəm
equinox	ˈiːkwɪnɒks
equitation	ˌekwɪˈteɪʃn
equitable	ˈekwɪtəbl
equitably	ˈekwɪtəbli
equity	ˈekwəti
equivocate	ɪˈkwɪvəkeɪt
equivocal	ɪˈkwɪvəkl
equivalent	ɪˈkwɪvələnt
equivalence	ɪˈkwɪvələns
era	ˈɪərə
eradicate	ɪˈrædɪkeɪt
eradication	ɪˌrædɪˈkeɪʃn
erect	ɪˈrekt
equipoise	ˈiːkwɪpɔɪz
equinoctial	ˌiːkwɪˈnɒkʃl
equivocation	ɪˌkwɪvəˈkeɪʃn
erase	ɪˈreɪz
er	ˌiː ˈɑː(r)
ere	eə(r)
erection	ɪˈrekʃn
erg	ɜːɡ
ergative	ˈɜːɡətɪv
ergatively	ˈɜːɡətɪvli
erasure	ɪˈreɪʒə(r)
erbium	ˈɜːbiəm
eraser	ɪˈreɪzə(r)
ergonomics	ˌɜːɡəˈnɒmɪks
equally	ˈiːkwəli
ericaceous	ˌerɪˈkeɪʃəs
ermine	ˈɜːmɪn
erode	ɪˈrəʊd
erosion	ɪˈrəʊʒn
erotica	ɪˈrɒtɪkə
errand	ˈerənd
equipment	ɪˈkwɪpmənt
erectile	ɪˈrektaɪl
ergo	ˈɜːɡəʊ
ergonomic	ˌɜːɡəˈnɒmɪk
error	ˈerə(r)
erratic	ɪˈrætɪk
erratically	ɪˈrætɪkli
erratum	eˈrɑːtəm
errata	eˈrɑːtə
err	ɜː(r)
erotic	ɪˈrɒtɪk
erotically	ɪˈrɒtɪkli
eroticism	ɪˈrɒtɪsɪzəm
erstwhile	ˈɜːstwaɪl
erudite	ˈerudaɪt
erupt	ɪˈrʌpt
eruption	ɪˈrʌpʃn
erudition	ˌeruˈdɪʃn
eruptive	ɪˈrʌptɪv
errant	ˈerənt
erroneous	ɪˈrəʊniəs
erroneously	ɪˈrəʊniəsli
ersatz	ˈeəzæts
escalator	ˈeskəleɪtə(r)
escalate	ˈeskəleɪt
escalation	ˌeskəˈleɪʃn
erythrocyte	ɪˈrɪθrəsaɪt
escape	ɪˈskeɪp
escapee	ɪˌskeɪˈpiː
escarpment	ɪˈskɑːpmənt
escapologist	ˌeskəˈpɒlədʒɪst
escapism	ɪˈskeɪpɪzəm
escapist	ɪˈskeɪpɪst
escort	ˈeskɔːt
eschew	ɪsˈtʃuː
escaped	ɪˈskeɪpt
escalope	ˈeskəlɒp
escapement	ɪˈskeɪpmənt
escutcheon	ɪˈskʌtʃn
escapade	ˌeskəˈpeɪd
eschatology	ˌeskəˈtɒlədʒi
eschatological	eˌskætəˈlɒdʒɪkl
escudo	eˈskuːdəʊ
esker	ˈeskə(r)
esoteric	ˌesəˈterɪk
espalier	ɪˈspæliə(r)
esophagus	iˈsɒfəɡəs
esophagi	iˈsɒfəɡaɪ
especially	ɪˈspeʃəli
espadrille	ˈespədrɪl
essay	ˈeseɪ
espressivo	ˌespreˈsiːvəʊ
esplanade	ˌespləˈneɪd
essential	ɪˈsenʃl
essence	ˈesns
espresso	eˈspresəʊ
establish	ɪˈstæblɪʃ
est	ˌiː es ˈtiː
essentially	ɪˈsenʃəli
esteem	ɪˈstiːm
espouse	ɪˈspaʊz
espousal	ɪˈspaʊzl
espionage	ˈespiənɑːʒ
especial	ɪˈspeʃl
established	ɪˈstæblɪʃt
essayist	ˈeseɪɪst
establishment	ɪˈstæblɪʃmənt
espy	eˈspaɪ
estimate	ˈestɪmət
estimation	ˌestɪˈmeɪʃn
estrangement	ɪˈstreɪndʒmənt
estranged	ɪˈstreɪndʒd
estrogen	ˈiːstrədʒən
estrus	ˈiːstrəs
eta	ˌiː tiː ˈeɪ
ester	ˈestə(r)
estimable	ˈestɪməbl
etching	ˈetʃɪŋ
estate	ɪˈsteɪt
estuary	ˈestʃuəri
eth	eð
etch	etʃ
ethene	ˈeθiːn
ether	ˈiːθə(r)
ethanol	ˈeθənɒl
ethereal	iˈθɪəriəl
eternity	ɪˈtɜːnəti
ethane	ˈiːθeɪn
ethic	ˈeθɪk
ethical	ˈeθɪkl
ethically	ˈeθɪkli
ethnographer	eθˈnɒɡrəfə(r)
ethnocentric	ˌeθnəʊˈsentrɪk
eternal	ɪˈtɜːnl
eternally	ɪˈtɜːnəli
ethnolinguistics	ˌeθnəʊlɪŋˈɡwɪstɪks
ethnolinguist	ˌeθnəʊˈlɪŋɡwɪst
ethnography	eθˈnɒɡrəfi
ethnographic	ˌeθnəˈɡræfɪk
ethnology	eθˈnɒlədʒi
ethnological	ˌeθnəˈlɒdʒɪkl
ethnicity	eθˈnɪsəti
ethyl	ˈeθɪl
ethos	ˈiːθɒs
etiolated	ˈiːtiəleɪtɪd
ethylene	ˈeθɪliːn
ethyne	ˈiːθaɪn
etiquette	ˈetɪket
etiology	ˌiːtiˈɒlədʒi
ethnic	ˈeθnɪk
ethnically	ˈeθnɪkli
etymology	ˌetɪˈmɒlədʒi
etymological	ˌetɪməˈlɒdʒɪkl
eucalyptus	ˌjuːkəˈlɪptəs
eucalypti	ˌjuːkəˈlɪptaɪ
etymon	ˈetɪmɒn
etyma	ˈetɪmə
eulogize	ˈjuːlədʒaɪz
eulogistic	ˌjuːləˈdʒɪstɪk
eulogy	ˈjuːlədʒi
eugenics	juːˈdʒenɪks
eugenic	juːˈdʒenɪk
euphemism	ˈjuːfəmɪzəm
euphemistic	ˌjuːfəˈmɪstɪk
euphonium	juːˈfəʊniəm
eurhythmics	juˈrɪðmɪks
eunuch	ˈjuːnək
euphonious	juːˈfəʊniəs
euphony	ˈjuːfəni
eureka	juˈriːkə
europeanize	ˌjʊərəˈpiːənaɪz
Europeanization	ˌjʊərəpiːənaɪˈzeɪʃn
eutrophic	juːˈtrɒfɪk
eutrophication	ˌjuːtrəfɪˈkeɪʃn
euphoria	juːˈfɔːriə
euphoric	juːˈfɒrɪk
europium	jʊərˈəʊpiəm
evacuee	ɪˌvækjuˈiː
evaluate	ɪˈvæljueɪt
evaluation	ɪˌvæljuˈeɪʃn
evangelist	ɪˈvændʒəlɪst
euthanasia	ˌjuːθəˈneɪziə
evanescent	ˌiːvəˈnesnt
euro	ˈjʊərəʊ
evade	ɪˈveɪd
evacuate	ɪˈvækjueɪt
evacuation	ɪˌvækjuˈeɪʃn
evangelize	ɪˈvændʒəlaɪz
evaporate	ɪˈvæpəreɪt
evaporation	ɪˌvæpəˈreɪʃn
evasive	ɪˈveɪsɪv
evasively	ɪˈveɪsɪvli
evasion	ɪˈveɪʒn
eventing	ɪˈventɪŋ
eventually	ɪˈventʃuəli
evenly	ˈiːvnli
eventful	ɪˈventfl
even	ˈiːvn
evangelical	ˌiːvænˈdʒelɪkl
evermore	ˌevəˈmɔː(r)
everyone	ˈevriwʌn
eventual	ɪˈventʃuəl
evict	ɪˈvɪkt
eviction	ɪˈvɪkʃn
evergreen	ˈevəɡriːn
ever	ˈevə(r)
evening	ˈiːvnɪŋ
evenings	ˈiːvnɪŋs
everywhere	ˈevriweə(r)
everlasting	ˌevəˈlɑːstɪŋ
everlastingly	ˌevəˈlɑːstɪŋli
evidence	ˈevɪdəns
everything	ˈevriθɪŋ
eventide	ˈiːvntaɪd
evil	ˈiːvl
evident	ˈevɪdənt
evidently	ˈevɪdəntli
evilly	ˈiːvəli
evince	ɪˈvɪns
eventuality	ɪˌventʃuˈæləti
evocative	ɪˈvɒkətɪv
evolve	iˈvɒlv
every	ˈevri
ex	eks
exacting	ɪɡˈzæktɪŋ
exactitude	ɪɡˈzæktɪtjuːd
everybody	ˈevribɒdi
eve	iːv
evoke	ɪˈvəʊk
evocation	ˌiːvəʊˈkeɪʃn
exaggeration	ɪɡˌzædʒəˈreɪʃn
exaltation	ˌeɡzɔːlˈteɪʃn
ewe	juː
eventuate	ɪˈventʃueɪt
evidential	ˌevɪˈdenʃl
eviscerate	ɪˈvɪsəreɪt
exam	ɪɡˈzæm
exalt	ɪɡˈzɔːlt
evolutionary	ˌiːvəˈluːʃənri
examination	ɪɡˌzæmɪˈneɪʃn
exactly	ɪɡˈzæktli
example	ɪɡˈzɑːmpl
exacerbate	ɪɡˈzæsəbeɪt
evolutionist	ˌiːvəˈluːʃnɪst
evolutionism	ˌiːvəˈluːʃnɪzəm
evolutionism	ˌevəˈluːʃnɪzəm
exasperate	ɪɡˈzæspəreɪt
exasperation	ɪɡˌzæspəˈreɪʃn
exasperated	ɪɡˈzæspəreɪtɪd
exasperating	ɪɡˈzæspəreɪtɪŋ
except	ɪkˈsept
exceed	ɪkˈsiːd
excel	ɪkˈsel
exception	ɪkˈsepʃn
exceptionally	ɪkˈsepʃənəli
excavation	ˌekskəˈveɪʃn
excess	ɪkˈses
excerpt	ˈeksɜːpt
excellency	ˈeksələnsi
excessive	ɪkˈsesɪv
excessively	ɪkˈsesɪvli
exchangeable	ɪksˈtʃeɪndʒəbl
examinee	ɪɡˌzæmɪˈniː
exalted	ɪɡˈzɔːltɪd
excavator	ˈekskəveɪtə(r)
exaggerate	ɪɡˈzædʒəreɪt
examine	ɪɡˈzæmɪn
excellent	ˈeksələnt
excellently	ˈeksələntli
event	ɪˈvent
excellence	ˈeksələns
exceedingly	ɪkˈsiːdɪŋli
examiner	ɪɡˈzæmɪnə(r)
excise	ˈeksaɪz
exchequer	ɪksˈtʃekə(r)
excision	ɪkˈsɪʒn
excitable	ɪkˈsaɪtəbl
excitability	ɪkˌsaɪtəˈbɪləti
exchange	ɪksˈtʃeɪndʒ
excite	ɪkˈsaɪt
excitement	ɪkˈsaɪtmənt
exciting	ɪkˈsaɪtɪŋ
excitingly	ɪkˈsaɪtɪŋli
ewer	ˈjuːə(r)
exaggerated	ɪɡˈzædʒəreɪtɪd
exaggeratedly	ɪɡˈzædʒəreɪtɪdli
excavate	ˈekskəveɪt
exclamatory	ɪkˈsklæmətri
exclamation	ˌekskləˈmeɪʃn
evolution	ˌiːvəˈluːʃn
exact	ɪɡˈzækt
exactness	ɪɡˈzæktnəs
exclaim	ɪkˈskleɪm
exclusion	ɪkˈskluːʒn
exclusive	ɪkˈskluːsɪv
exclusively	ɪkˈskluːsɪvli
exclude	ɪkˈskluːd
excluding	ɪkˈskluːdɪŋ
exclusionary	ɪkˈskluːʒənri
excommunicate	ˌekskəˈmjuːnɪkeɪt
excommunication	ˌekskəˌmjuːnɪˈkeɪʃn
exclusivity	ˌekskluːˈsɪvəti
excoriate	ˌeksˈkɔːrieɪt
excrete	ɪkˈskriːt
excretion	ɪkˈskriːʃn
exculpate	ˈekskʌlpeɪt
excursion	ɪkˈskɜːʃn
excruciating	ɪkˈskruːʃieɪtɪŋ
excruciatingly	ɪkˈskruːʃieɪtɪŋli
excrement	ˈekskrɪmənt
execute	ˈeksɪkjuːt
excrescence	ɪkˈskresns
excuse	ɪkˈskjuːs
executioner	ˌeksɪˈkjuːʃənə(r)
excusable	ɪkˈskjuːzəbl
executive	ɪɡˈzekjətɪv
executor	ɪɡˈzekjətə(r)
exegesis	ˌeksɪˈdʒiːsɪs
exegeses	ˌeksɪˈdʒiːsiːz
excretory	ɪksˈkriːtəri
exeat	ˈeksɪæt
excited	ɪkˈsaɪtɪd
excitedly	ɪkˈsaɪtɪdli
excreta	ɪkˈskriːtə
exemplary	ɪɡˈzempləri
exemplar	ɪɡˈzemplɑː(r)
exemplify	ɪɡˈzemplɪfaɪ
exemplification	ɪɡˌzemplɪfɪˈkeɪʃn
exempt	ɪɡˈzempt
-exempt	ɪɡˈzempt
exeunt	ˈeksiʌnt
execrable	ˈeksɪkrəbl
executable	ɪɡˈzekjətəbl
exhibitionist	ˌeksɪˈbɪʃənɪst
exhibitor	ɪɡˈzɪbɪtə(r)
exertion	ɪɡˈzɜːʃn
exhausted	ɪɡˈzɔːstɪd
exhaustive	ɪɡˈzɔːstɪv
exhaustively	ɪɡˈzɔːstɪvli
exhaustion	ɪɡˈzɔːstʃən
exhibitionism	ˌeksɪˈbɪʃənɪzəm
exhausting	ɪɡˈzɔːstɪŋ
exhilarating	ɪɡˈzɪləreɪtɪŋ
exhort	ɪɡˈzɔːt
exhortation	ˌeɡzɔːˈteɪʃn
exhilarate	ɪɡˈzɪləreɪt
exhume	eksˈhjuːm
exhumation	ˌekshjuːˈmeɪʃn
execution	ˌeksɪˈkjuːʃn
exile	ˈeksaɪl
existence	ɪɡˈzɪstəns
exhibition	ˌeksɪˈbɪʃn
exemption	ɪɡˈzempʃn
exert	ɪɡˈzɜːt
exhale	eksˈheɪl
exhalation	ˌekshəˈleɪʃn
exhaust	ɪɡˈzɔːst
exfoliate	eksˈfəʊlieɪt
exist	ɪɡˈzɪst
existing	ɪɡˈzɪstɪŋ
