aardvark	ˈɑːdvɑːk
journalists	ˈdʒɜːnəlɪsts
journals	ˈdʒɜːnlz
journey	ˈdʒɜːni
journeyman	ˈdʒɜːnimən
journeys	ˈdʒɜːniz
journo	ˈdʒɜːnəʊ
journos	ˈdʒɜːnəʊz
joust	dʒaʊst
jousts	dʒaʊsts
jovialities	ˌdʒəʊviˈælətiz
joviality	ˌdʒəʊviˈæləti
jowl	dʒaʊl
jowls	dʒaʊlz
joy	dʒɔɪ
joyfulness	ˈdʒɔɪflnəs
joys	ˈdʒɔɪz
ju-jitsu	dʒuː ˈdʒɪtsuː
jubilation	ˌdʒuːbɪˈleɪʃn
jubilations	ˌdʒuːbɪˈleɪʃnz
jubilee	ˈdʒuːbɪliː
jubilees	ˈdʒuːbɪliːz
Judaism	ˈdʒuːdeɪɪzəm
judas	ˈdʒuːdəs
judases	ˈdʒuːdəsɪz
judge	dʒʌdʒ
judgement	ˈdʒʌdʒmənt
judgements	ˈdʒʌdʒmənts
judges	ˈdʒʌdʒɪz
judicature	ˈdʒuːdɪkətʃə
judicatures	ˈdʒuːdɪkətʃəz
judiciaries	dʒuˈdɪʃəriz
judiciary	dʒuˈdɪʃəri
judo	ˈdʒuːdəʊ
jug	dʒʌɡ
jugful	ˈdʒʌɡfʊl
jugfuls	ˈdʒʌɡfʊlz
jugged hare	ˌdʒʌɡd ˈheə
juggernaut	ˈdʒʌɡənɔːt
juggernauts	ˈdʒʌɡənɔːts
juggler	ˈdʒʌɡlə
jugglers	ˈdʒʌɡləz
jugs	dʒʌɡz
jugular	ˈdʒʌɡjələ
jugulars	ˈdʒʌɡjələz
juice	dʒuːs
juicer	ˈdʒuːsə
juicers	ˈdʒuːsəz
juices	ˈdʒuːsɪz
juju	ˈdʒuːdʒuː
jujus	ˈdʒuːdʒuːz
jukebox	ˈdʒuːkbɒks
jukeboxes	ˈdʒuːkbɒksɪz
julep	ˈdʒuːlep
juleps	ˈdʒuːleps
Julian calendar	ˌdʒuːliən ˈkælɪndə
July	dʒuˈlaɪ
jumble	ˈdʒʌmbl
jumbles	ˈdʒʌmblz
jumbo	ˈdʒʌmbəʊ
jumbos	ˈdʒʌmbəʊz
jump	dʒʌmp
jump lead	ˈdʒʌmp liːd
jump leads	ˈdʒʌmp liːdz
jumper	ˈdʒʌmpə
jumpers	ˈdʒʌmpəz
jumps	dʒʌmps
junction	ˈdʒʌŋkʃn
junctions	ˈdʒʌŋkʃnz
juncture	ˈdʒʌŋktʃə
junctures	ˈdʒʌŋktʃəz
June	dʒuːn
jungle	ˈdʒʌŋɡl
jungles	ˈdʒʌŋɡlz
junior	ˈdʒuːniə
juniors	ˈdʒuːniəz
juniper	ˈdʒuːnɪpə
junipers	ˈdʒuːnɪpəz
junk	dʒʌŋk
junket	ˈdʒʌŋkɪt
junkets	ˈdʒʌŋkɪts
junkie	ˈdʒʌŋki
junkies	ˈdʒʌŋkiz
junks	dʒʌŋks
junta	ˈdʒʌntə
juntas	ˈdʒʌntəz
Jupiter	ˈdʒuːpɪtə
juries	ˈdʒʊəriz
jurisdiction	ˌdʒʊərɪsˈdɪkʃn
jurisdictions	ˌdʒʊərɪsˈdɪkʃnz
jurisprudence	ˌdʒʊərɪsˈpruːdns
jurist	ˈdʒʊərɪst
jurists	ˈdʒʊərɪsts
juror	ˈdʒʊərə
jurors	ˈdʒʊərəz
jury	ˈdʒʊəri
juryman	ˈdʒʊərimən
jurywoman	ˈdʒʊəriwʊmən
jus	ʒuː
justice	ˈdʒʌstɪs
justices	ˈdʒʌstɪsɪz
justiciaries	dʒʌˈstɪʃəriz
justiciary	dʒʌˈstɪʃəri
justification	ˌdʒʌstɪfɪˈkeɪʃn
justifications	ˌdʒʌstɪfɪˈkeɪʃnz
jute	dʒuːt
jutes	dʒuːts
juvenile	ˈdʒuːvənaɪl
juveniles	ˈdʒuːvənaɪlz
juvenilia	ˌdʒuːvəˈnɪliə
juxtaposition	ˌdʒʌkstəpəˈzɪʃn
juxtapositions	ˌdʒʌkstəpəˈzɪʃnz
Kaaba	ˈkɑːbə
kabaddi	ˈkʌbədi
Kabbalah	kəˈbɑːlə
kabuki	kəˈbuːki
Kaffir	ˈkæfə
Kaffirs	ˈkæfəz
Kafir	ˈkæfɪə
Kafirs	ˈkæfɪəz
kaftan	ˈkæftæn
kaftans	ˈkæftænz
kai	kaɪ
kaiser	ˈkaɪzə
kaisers	ˈkaɪzəz
kaizen	ˌkaɪˈzen
kalashnikov	kəˈlæʃnɪkɒf
kalashnikovs	kəˈlæʃnɪkɒfs
kale	keɪl
kaleidoscope	kəˈlaɪdəskəʊp
kaleidoscopes	kəˈlaɪdəskəʊps
kales	keɪlz
kameez	kəˈmiːz
kameezes	kəˈmiːzɪz
Kanarese	ˌkænəˈriːz
kangaroo	ˌkæŋɡəˈruː
kangaroos	ˌkæŋɡəˈruːz
kanji	ˈkændʒi
Kannada	ˈkænədə
kanzu	ˈkænzuː
kanzus	ˈkænzuːz
kaolin	ˈkeɪəlɪn
kapok	ˈkeɪpɒk
kappa	ˈkæpə
karabiner	ˌkærəˈbiːnə
karabiners	ˌkærəˈbiːnəz
karaoke	ˌkæriˈəʊki
karate	kəˈrɑːti
karma	ˈkɑːmə
karmas	ˈkɑːməz
kart	kɑːt
karting	ˈkɑːtɪŋ
karts	kɑːts
kasbah	ˈkæzbɑː
kasbahs	ˈkæzbɑːz
katakana	ˌkætəˈkɑːnə
katakanas	ˌkætəˈkɑːnəz
Kathakali	ˌkʌtəˈkʌli
Kathakalis	ˌkʌtəˈkʌliz
kayak	ˈkaɪæk
kayaks	ˈkaɪæks
kayo	keɪˈəʊ
kayoes	keɪˈəʊz
kayos	keɪˈəʊz
Kazakhstan	ˌkæzəkˈstɑːn
kazoo	kəˈzuː
kazoos	kəˈzuːz
kebab	kɪˈbæb
kebabs	kɪˈbæbz
kecks	keks
keckses	ˈkeksɪz
kedgeree	ˈkedʒəriː
kedgerees	ˈkedʒəriːz
keel	kiːl
keels	kiːlz
keenness	ˈkiːnnəs
keep	kiːp
keeper	ˈkiːpə
keepers	ˈkiːpəz
keeping	ˈkiːpɪŋ
keepings	ˈkiːpɪŋz
keeps	kiːps
keepsake	ˈkiːpseɪk
keepsakes	ˈkiːpseɪks
keffiyeh	kəˈfiːjə
keffiyehs	kəˈfiːjəz
keg	keɡ
kegs	keɡz
keister	ˈkiːstə
keisters	ˈkiːstəz
kelim	kəˈliːm
kelims	kəˈliːmz
kelp	kelp
kelpie	ˈkelpi
kelpies	ˈkelpiz
kelps	kelps
kelvin	ˈkelvɪn
kelvins	ˈkelvɪnz
ken	ken
kendo	ˈkendəʊ
kennel	ˈkenl
kennels	ˈkenlz
kens	kenz
keratin	ˈkerətɪn
kerb	kɜːb
kerbs	kɜːbz
kerbside	ˈkɜːbsaɪd
kerbstone	ˈkɜːbstəʊn
kerbstones	ˈkɜːbstəʊnz
kerchief	ˈkɜːtʃɪf
kerchiefs	ˈkɜːtʃɪfs
kerfuffle	kəˈfʌfl
kerfuffles	kəˈfʌflz
kernel	ˈkɜːnl
kernels	ˈkɜːnlz
kerosene	ˈkerəsiːn
kestrel	ˈkestrəl
kestrels	ˈkestrəlz
ket	ket
ketamine	ˈkiːtəmiːn
ketch	ketʃ
ketches	ˈketʃɪz
ketchup	ˈketʃəp
ketchups	ˈketʃəps
kets	kets
kettle	ˈketl
kettledrum	ˈketldrʌm
kettledrums	ˈketldrʌmz
kettles	ˈketlz
key	kiː
keyboard	ˈkiːbɔːd
keyboarder	ˈkiːbɔːdə
keyboarders	ˈkiːbɔːdəz
keyboardist	ˈkiːbɔːdɪst
keyboardists	ˈkiːbɔːdɪsts
keyboards	ˈkiːbɔːdz
keyhole	ˈkiːhəʊl
keyholes	ˈkiːhəʊlz
keynote	ˈkiːnəʊt
keynotes	ˈkiːnəʊts
keypad	ˈkiːpæd
keypads	ˈkiːpædz
keys	kiːz
keystone	ˈkiːstəʊn
keystones	ˈkiːstəʊnz
keystroke	ˈkiːstrəʊk
keystrokes	ˈkiːstrəʊks
keyword	ˈkiːwɜːd
keywords	ˈkiːwɜːdz
khadi	ˈkɑːdi
khaki	ˈkɑːki
khakis	ˈkɑːkiz
khan	kɑːn
khanate	ˈkɑːneɪt
khanates	ˈkɑːneɪts
khanga	ˈkæŋɡə
khangas	ˈkæŋɡəz
khans	kɑːnz
khansama	ˈkɑːnsəmɑː
khansamas	ˈkɑːnsəmɑːz
kharif	kʌˈriːf
kharifs	kʌˈriːfs
khat	kɑːt
khats	kɑːts
Khmer	kmeə
kibble	ˈkɪbl
kibbles	ˈkɪblz
kibbutz	kɪˈbʊts
kibitzer	ˈkɪbɪtsə
kibitzers	ˈkɪbɪtsəz
kibosh	ˈkaɪbɒʃ
kiboshes	ˈkaɪbɒʃɪz
kick	kɪk
kickback	ˈkɪkbæk
kickbacks	ˈkɪkbæks
kickball	ˈkɪkbɔːl
kicker	ˈkɪkə
kickers	ˈkɪkəz
kicking	ˈkɪkɪŋ
kicks	kɪks
kickstand	ˈkɪkstænd
kickstands	ˈkɪkstændz
kid	kɪd
kiddie	ˈkɪdi
kiddies	ˈkɪdiz
kidnapper	ˈkɪdnæpə
kidnappers	ˈkɪdnæpəz
kidnapping	ˈkɪdnæpɪŋ
kidney	ˈkɪdni
kidneys	ˈkɪdniz
kidology	kɪˈdɒlədʒi
kids	kɪdz
kidult	ˈkɪdʌlt
kidults	ˈkɪdʌlts
kike	kaɪk
kikes	kaɪks
kikoi	kɪˈkɔɪ
kilim	kɪˈliːm
kilims	kɪˈliːmz
kill	kɪl
killer	ˈkɪlə
killers	ˈkɪləz
killing	ˈkɪlɪŋ
killings	ˈkɪlɪŋz
killjoy	ˈkɪldʒɔɪ
killjoys	ˈkɪldʒɔɪz
kills	kɪlz
kiln	kɪln
kilns	kɪlnz
kilo	ˈkiːləʊ
kilobit	ˈkɪləbɪt
kilobits	ˈkɪləbɪts
kilobyte	ˈkɪləbaɪt
kilobytes	ˈkɪləbaɪts
kilogram	ˈkɪləɡræm
kilograms	ˈkɪləɡræmz
kilohertz	ˈkɪləhɜːts
kilojoule	ˈkɪlədʒuːl
kilometre	ˈkɪləmiːtə
kilometres	ˈkɪləmiːtəz
kilos	ˈkiːləʊz
kilowatt	ˈkɪləwɒt
kilowatts	ˈkɪləwɒts
kilt	kɪlt
kilter	ˈkɪltə
kilts	kɪlts
kimono	kɪˈməʊnəʊ
kimonos	kɪˈməʊnəʊz
kin	kɪn
kinaesthesia	ˌkɪnəsˈθiːziə
kind	kaɪnd
kinder	ˈkɪndə
kindergarten	ˈkɪndəɡɑːtn
kindergartens	ˈkɪndəɡɑːtnz
kindies	ˈkɪndiz
kindliness	ˈkaɪndlinəs
kindling	ˈkɪndlɪŋ
kindlings	ˈkɪndlɪŋz
kindness	ˈkaɪndnəs
kindnesses	ˈkaɪndnəsɪz
kindred	ˈkɪndrəd
kinds	kaɪndz
kindy	ˈkɪndi
kinesis	kɪˈniːsɪs
king	kɪŋ
kingdom	ˈkɪŋdəm
kingdoms	ˈkɪŋdəmz
kingfisher	ˈkɪŋfɪʃə
kingfishers	ˈkɪŋfɪʃəz
kingpin	ˈkɪŋpɪn
kingpins	ˈkɪŋpɪnz
kings	kɪŋz
kingship	ˈkɪŋʃɪp
kingships	ˈkɪŋʃɪps
kink	kɪŋk
kinkajou	ˈkɪŋkədʒuː
kinkajous	ˈkɪŋkədʒuːz
kinks	kɪŋks
kins	kɪnz
kinsfolk	ˈkɪnzfəʊk
kinsfolks	ˈkɪnzfəʊks
kinship	ˈkɪnʃɪp
kinships	ˈkɪnʃɪps
kinsman	ˈkɪnzmən
kinswoman	ˈkɪnzwʊmən
kiosk	ˈkiːɒsk
kiosks	ˈkiːɒsks
kip	kɪp
kippa	kɪˈpɑː
kippas	kɪˈpɑːz
kipper	ˈkɪpə
kippers	ˈkɪpəz
kips	kɪps
kirby grip	ˈkɜːbi ɡrɪp
kirby grips	ˈkɜːbi ɡrɪps
kirk	kɜːk
kirks	kɜːks
kirpan	kɪəˈpɑːn
kirpans	kɪəˈpɑːnz
kirsch	kɪəʃ
kirsches	ˈkɪəʃɪz
kisan	kɪˈsɑːn
kisans	kɪˈsɑːnz
kismet	ˈkɪzmet
kismets	ˈkɪzmets
kiss	kɪs
kisser	ˈkɪsə
kissers	ˈkɪsəz
kisses	ˈkɪsɪz
kissogram	ˈkɪsəɡræm
kissograms	ˈkɪsəɡræmz
kist	kɪst
kists	kɪsts
kit	kɪt
kitchen	ˈkɪtʃɪn
kitchenette	ˌkɪtʃɪˈnet
kitchenettes	ˌkɪtʃɪˈnets
kitchens	ˈkɪtʃɪnz
kitchenware	ˈkɪtʃɪnweə
kite	kaɪt
kites	kaɪts
kith	kɪθ
kiths	kɪθz
kits	kɪts
kitsch	kɪtʃ
kitten	ˈkɪtn
kittens	ˈkɪtnz
kitties	ˈkɪtiz
kittiwake	ˈkɪtɪweɪk
kittiwakes	ˈkɪtɪweɪks
kitty	ˈkɪti
kiwi	ˈkiːwiː
kiwis	ˈkiːwiːz
kleptomania	ˌkleptəˈmeɪniə
kleptomaniac	ˌkleptəˈmeɪniæk
kleptomaniacs	ˌkleptəˈmeɪniæks
kludge	kluːdʒ
kludges	ˈkluːdʒɪz
klutz	klʌts
klutzes	ˈklʌtsɪz
knack	næk
knacks	næks
knapsack	ˈnæpsæk
knapsacks	ˈnæpsæks
knave	neɪv
knaves	neɪvz
knee	niː
kneecap	ˈniːkæp
kneecapping	ˈniːkæpɪŋ
kneecappings	ˈniːkæpɪŋz
kneecaps	ˈniːkæps
knees	niːz
knell	nel
knells	nelz
knick-knack	ˈnɪk næk
knick-knacks	ˈnɪk næks
knickerbocker glories	ˌnɪkəbɒkə ˈɡlɔːriz
knickerbocker glory	ˌnɪkəbɒkə ˈɡlɔːri
knickerbockers	ˈnɪkəbɒkəz
knickers	ˈnɪkəz
knife	naɪf
knight	naɪt
knighthood	ˈnaɪthʊd
knighthoods	ˈnaɪthʊdz
knights	naɪts
knit	nɪt
knits	nɪts
knitter	ˈnɪtə
knitters	ˈnɪtəz
knitting	ˈnɪtɪŋ
knitwear	ˈnɪtweə
knives	naɪvz
knob	nɒb
knobs	nɒbz
knock	nɒk
knocker	ˈnɒkə
knockers	ˈnɒkəz
knockout	ˈnɒkaʊt
knockouts	ˈnɒkaʊts
knocks	nɒks
knoll	nəʊl
knolls	nəʊlz
knot	nɒt
knots	nɒts
know	nəʊ
knowledge	ˈnɒlɪdʒ
knows	nəʊz
knuckle	ˈnʌkl
knuckleduster	ˈnʌkldʌstə
knuckledusters	ˈnʌkldʌstəz
knuckles	ˈnʌklz
koala	kəʊˈɑːlə
koalas	kəʊˈɑːləz
kofta	ˈkɒftə
kohl	kəʊl
kohlrabi	ˌkəʊlˈrɑːbi
kohlrabis	ˌkəʊlˈrɑːbiz
koi	kɔɪ
Komodo dragon	kəˌməʊdəʊ ˈdræɡən
Komodo dragons	kəˌməʊdəʊ ˈdræɡənz
kook	kuːk
kookaburra	ˈkʊkəbʌrə
kookaburras	ˈkʊkəbʌrəz
kooks	kuːks
koori	ˈkʊəri
kop	kɒp
koppie	ˈkɒpi
koppies	ˈkɒpiz
kora	ˈkɔːrə
Koran	kəˈrɑːn
koras	ˈkɔːrəz
korfball	ˈkɔːfbɔːl
korma	ˈkɔːmə
kormas	ˈkɔːməz
kotwal	ˈkɒtwʌl
kotwals	ˈkɒtwʌlz
kouros	ˈkuːrɒs
kraal	krɑːl
kraals	krɑːlz
krait	kraɪt
kraits	kraɪts
kraken	ˈkrɑːkən
krakens	ˈkrɑːkənz
kraut	kraʊt
krauts	kraʊts
krill	krɪl
krills	krɪlz
kris	kriːs
krises	ˈkriːsɪz
krone	ˈkrəʊnə
kronor	ˈkrəʊnɔː
krummhorn	ˈkrʌmhɔːn
krummhorns	ˈkrʌmhɔːnz
krypton	ˈkrɪptɒn
kudos	ˈkjuːdɒs
kudu	ˈkuːduː
kudus	ˈkuːduːz
kudzu	ˈkʊdzuː
kudzus	ˈkʊdzuːz
kumquat	ˈkʌmkwɒt
kumquats	ˈkʌmkwɒts
kung fu	ˌkʌŋ ˈfuː
kurta	ˈkɜːtə
kurtas	ˈkɜːtəz
Kuwait	kʊˈweɪt
kwashiorkor	ˌkwɒʃiˈɔːkɔː
kwela	ˈkwelə
kyle	kaɪl
kyles	kaɪlz
kylie	ˈkaɪli
kylies	ˈkaɪliz
la dolce vita	lɑː ˌdɒltʃeɪ ˈviːtə
laager	ˈlɑːɡə
laagers	ˈlɑːɡəz
lab	læb
label	ˈleɪbl
labels	ˈleɪblz
labia	ˈleɪbiə
labial	ˈleɪbiəl
labials	ˈleɪbiəlz
labiodental	ˌleɪbiəʊˈdentl
labiodentals	ˌleɪbiəʊˈdentlz
labiovelar	ˌleɪbiəʊˈviːlə
laboratories	ləˈbɒrətriz
laboratory	ləˈbɒrətri
labour	ˈleɪbə
labourer	ˈleɪbərə
labourers	ˈleɪbərəz
labouring	ˈleɪbərɪŋ
labours	ˈleɪbəz
Labrador	ˈlæbrədɔː
labs	læbz
laburnum	ləˈbɜːnəm
laburnums	ləˈbɜːnəmz
labyrinth	ˈlæbərɪnθ
labyrinthitis	ˌlæbərɪnˈθaɪtɪs
labyrinths	ˈlæbərɪnθz
lace	leɪs
laceration	ˌlæsəˈreɪʃn
lacerations	ˌlæsəˈreɪʃnz
laces	ˈleɪsɪz
lack	læk
lackey	ˈlæki
lackeys	ˈlækiz
lacks	læks
lacquer	ˈlækə
lacquers	ˈlækəz
lacrosse	ləˈkrɒs
lactation	lækˈteɪʃn
lactations	lækˈteɪʃnz
lactic acid	ˌlæktɪk ˈæsɪd
lactobacillus	ˌlæktəʊbəˈsɪləs
lactoprotein	ˌlæktəʊˈprəʊtiːn
lactoproteins	ˌlæktəʊˈprəʊtiːnz
lactose	ˈlæktəʊs
lacuna	ləˈkuːnə
lacunae	ləˈkuːniː
lad	læd
ladder	ˈlædə
ladders	ˈlædəz
laddie	ˈlædi
laddies	ˈlædiz
ladle	ˈleɪdl
ladles	ˈleɪdlz
lads	lædz
ladybird	ˈleɪdibɜːd
ladybirds	ˈleɪdibɜːdz
ladyfinger	ˈleɪdifɪŋɡə
ladyfingers	ˈleɪdifɪŋɡəz
ladyship	ˈleɪdiʃɪp
ladyships	ˈleɪdiʃɪps
lag	læɡ
lager	ˈlɑːɡə
lagers	ˈlɑːɡəz
laggard	ˈlæɡəd
laggards	ˈlæɡədz
lagoon	ləˈɡuːn
lagoons	ləˈɡuːnz
lags	læɡz
lah	lɑː
lahs	lɑːz
lair	leə
laird	leəd
lairds	leədz
lairs	leəz
laissez-faire	ˌleseɪ ˈfeə
laities	ˈleɪətiz
laity	ˈleɪəti
lake	leɪk
lakes	leɪks
lakeside	ˈleɪksaɪd
lallans	ˈlælənz
lam	læm
lama	ˈlɑːmə
Lamaism	ˈlɑːməɪzəm
lamas	ˈlɑːməz
lamaseries	ləˈmɑːsəriz
lamasery	ləˈmɑːsəri
lamb	læm
lambada	læmˈbɑːdə
lambda	ˈlæmdə
lambdas	ˈlæmdəz
Lambrusco	læmˈbrʊskəʊ
Lambruscos	læmˈbrʊskəʊz
lambs	læmz
lameness	ˈleɪmnəs
lament	ləˈment
lamentation	ˌlæmənˈteɪʃn
lamentations	ˌlæmənˈteɪʃnz
laments	ləˈments
laminate	ˈlæmɪnət
laminates	ˈlæmɪnəts
lamington	ˈlæmɪŋtən
lamingtons	ˈlæmɪŋtənz
lamp	læmp
lamplight	ˈlæmplaɪt
lamplights	ˈlæmplaɪts
lampoon	læmˈpuːn
lampoons	læmˈpuːnz
lamprey	ˈlæmpri
lampreys	ˈlæmpriz
lamps	læmps
lampshade	ˈlæmpʃeɪd
lampshades	ˈlæmpʃeɪdz
lams	læmz
lance	lɑːns
lancer	ˈlɑːnsə
lancers	ˈlɑːnsəz
lances	ˈlɑːnsɪz
lancet	ˈlɑːnsɪt
lancets	ˈlɑːnsɪts
land	lænd
landau	ˈlændɔː
landaus	ˈlændɔːz
landfall	ˈlændfɔːl
landfalls	ˈlændfɔːlz
landfill	ˈlændfɪl
landfills	ˈlændfɪlz
landform	ˈlændfɔːm
landforms	ˈlændfɔːmz
landholder	ˈlændhəʊldə
landholders	ˈlændhəʊldəz
landholding	ˈlændhəʊldɪŋ
landing	ˈlændɪŋ
landings	ˈlændɪŋz
landladies	ˈlændleɪdiz
landlady	ˈlændleɪdi
landlord	ˈlændlɔːd
landlords	ˈlændlɔːdz
landmark	ˈlændmɑːk
landmarks	ˈlændmɑːks
landowner	ˈlændəʊnə
landowners	ˈlændəʊnəz
landownership	ˈlændəʊnəʃɪp
lands	lændz
landscape	ˈlændskeɪp
landscapes	ˈlændskeɪps
landslide	ˈlændslaɪd
landslides	ˈlændslaɪdz
landslip	ˈlændslɪp
landslips	ˈlændslɪps
lane	leɪn
lanes	leɪnz
langlauf	ˈlæŋlaʊf
langouste	ˈlɒnɡuːst
langoustes	ˈlɒnɡuːsts
langoustine	ˈlɒŋɡʊstiːn
langoustines	ˈlɒŋɡʊstiːnz
language	ˈlæŋɡwɪdʒ
languages	ˈlæŋɡwɪdʒɪz
langue	lɒ̃ɡ
langues	lɒ̃ɡz
languor	ˈlæŋɡə
lanolin	ˈlænəlɪn
lantern	ˈlæntən
lanterns	ˈlæntənz
lanthanum	ˈlænθənəm
lanyard	ˈlænjɑːd
lanyards	ˈlænjɑːdz
Laos	laʊs
lap	læp
laparoscopy	ˌlæpəˈrɒskəpi
laparotomies	ˌlæpəˈrɒtəmiz
laparotomy	ˌlæpəˈrɒtəmi
lapdog	ˈlæpdɒɡ
lapdogs	ˈlæpdɒɡz
lapel	ləˈpel
lapels	ləˈpelz
laps	læps
lapsang souchong	ˌlæpsæŋ ˈsuːʃɒŋ
lapse	læps
lapses	ˈlæpsɪz
laptop	ˈlæptɒp
laptops	ˈlæptɒps
lapwing	ˈlæpwɪŋ
lapwings	ˈlæpwɪŋz
larcenies	ˈlɑːsəniz
larceny	ˈlɑːsəni
larch	lɑːtʃ
larches	ˈlɑːtʃɪz
lard	lɑːd
larder	ˈlɑːdə
larders	ˈlɑːdəz
lardon	ˈlɑːdn
lardons	ˈlɑːdnz
lards	lɑːdz
largeness	ˈlɑːdʒnəs
largesse	lɑːˈdʒes
largesses	lɑːˈdʒesɪz
largo	ˈlɑːɡəʊ
largos	ˈlɑːɡəʊz
lark	lɑːk
larks	lɑːks
larkspur	ˈlɑːkspɜː
larkspurs	ˈlɑːkspɜːz
larrikin	ˈlærɪkɪn
larva	ˈlɑːvə
laryngitis	ˌlærɪnˈdʒaɪtɪs
larynx	ˈlærɪŋks
larynxes	ˈlærɪŋksɪz
lasagne	ləˈzænjə
lasagnes	ləˈzænjəz
lasciviousness	ləˈsɪviəsnəs
laser	ˈleɪzə
laserdisc	ˈleɪzədɪsk
laserdiscs	ˈleɪzədɪsks
lasers	ˈleɪzəz
lash	læʃ
lashes	ˈlæʃɪz
lashing	ˈlæʃɪŋ
lashings	ˈlæʃɪŋz
lass	læs
Lassa fever	ˈlæsə fiːvə
lasses	ˈlæsɪz
lassi	ˈlæsi
lassie	ˈlæsi
lassies	ˈlæsiz
lassitude	ˈlæsɪtjuːd
lassitudes	ˈlæsɪtjuːdz
lasso	læˈsuː
lassoes	læˈsuːz
lassos	læˈsuːz
latch	lætʃ
latches	ˈlætʃɪz
latchkey	ˈlætʃkiː
latchkeys	ˈlætʃkiːz
latency	ˈleɪtənsi
lateness	ˈleɪtnəs
lateral	ˈlætərəl
latest	ˈleɪtɪst
latex	ˈleɪteks
latexes	ˈleɪteksɪz
lath	lɑːθ
lathe	leɪð
lather	ˈlɑːðə
lathers	ˈlɑːðəz
lathes	leɪðz
lathi	ˈlɑːtiː
lathis	ˈlɑːtiːz
Latin	ˈlætɪn
Latina	læˈtiːnə
Latinas	læˈtiːnəz
latino	læˈtiːnəʊ
latinos	læˈtiːnəʊz
Latins	ˈlætɪnz
latitude	ˈlætɪtjuːd
latitudes	ˈlætɪtjuːdz
latrine	ləˈtriːn
latrines	ləˈtriːnz
latter	ˈlætə
lattice	ˈlætɪs
lattices	ˈlætɪsɪz
Latvia	ˈlætviə
laudanum	ˈlɔːdənəm
laugh	lɑːf
laughs	lɑːfs
laughter	ˈlɑːftə
laughters	ˈlɑːftəz
launch	lɔːntʃ
launcher	ˈlɔːntʃə
launchers	ˈlɔːntʃəz
launches	ˈlɔːntʃɪz
launderette	lɔːnˈdret
launderettes	lɔːnˈdrets
laundries	ˈlɔːndriz
laundry	ˈlɔːndri
Laurasia	lɔːˈreɪʃə
laureate	ˈlɒriət
laureates	ˈlɒriəts
laurel	ˈlɒrəl
laurels	ˈlɒrəlz
lav	læv
lava	ˈlɑːvə
lavage	læˈvɑːʒ
lavages	læˈvɑːʒɪz
lavas	ˈlɑːvəz
lavatories	ˈlævətriz
lavatory	ˈlævətri
lavender	ˈlævəndə
lavenders	ˈlævəndəz
laver bread	ˈlɑːvə bred
lavs	lævz
law	lɔː
lawfulness	ˈlɔːflnəs
lawlessness	ˈlɔːləsnəs
lawmaker	ˈlɔːmeɪkə
lawmakers	ˈlɔːmeɪkəz
lawman	ˈlɔːmæn
lawn	lɔːn
lawns	lɔːnz
lawrencium	lɒˈrensiəm
laws	lɔːz
lawsuit	ˈlɔːsuːt
lawsuits	ˈlɔːsuːts
lawyer	ˈlɔːjə
lawyers	ˈlɔːjəz
laxative	ˈlæksətɪv
laxatives	ˈlæksətɪvz
laxity	ˈlæksəti
layabout	ˈleɪəbaʊt
layabouts	ˈleɪəbaʊts
layaway	ˈleɪəweɪ
layaways	ˈleɪəweɪz
layer	ˈleɪə
layers	ˈleɪəz
layette	leɪˈet
layettes	leɪˈets
layman	ˈleɪmən
layover	ˈleɪəʊvə
layovers	ˈleɪəʊvəz
layperson	ˈleɪpɜːsn
laywoman	ˈleɪwʊmən
Lazarus	ˈlæzərəs
laziness	ˈleɪzinəs
lea	liː
lead time	ˈliːd taɪm
lead-in	ˈliːd ɪn
lead-ins	ˈliːd ɪnz
leader	ˈliːdə
leaders	ˈliːdəz
leadership	ˈliːdəʃɪp
leaderships	ˈliːdəʃɪps
leaf	liːf
leaflet	ˈliːflət
leaflets	ˈliːfləts
league	liːɡ
leagues	liːɡz
leak	liːk
leakage	ˈliːkɪdʒ
leakages	ˈliːkɪdʒɪz
leaks	liːks
lean	liːn
lean-to	ˈliːn tuːz
lean-tos	ˈliːn tuːzɪz
leaning	ˈliːnɪŋ
leanings	ˈliːnɪŋz
leanness	ˈliːnnəs
leans	liːnz
leap	liːp
leapfrog	ˈliːpfrɒɡ
leapfrogs	ˈliːpfrɒɡz
leaps	liːps
learner	ˈlɜːnə
learners	ˈlɜːnəz
learning	ˈlɜːnɪŋ
leas	liːz
lease	liːs
leaseback	ˈliːsbæk
leasebacks	ˈliːsbæks
leasehold	ˈliːshəʊld
leaseholder	ˈliːshəʊldə
leaseholders	ˈliːshəʊldəz
leaseholds	ˈliːshəʊldz
leases	ˈliːsɪz
leash	liːʃ
leashes	ˈliːʃɪz
leasing	ˈliːsɪŋ
leasings	ˈliːsɪŋz
leather	ˈleðə
leatherette	ˌleðəˈret
leathers	ˈleðəz
leave	liːv
leaven	ˈlevn
leavens	ˈlevnz
leaver	ˈliːvə
leavers	ˈliːvəz
leaves	liːvz
leavings	ˈliːvɪŋz
Lebanon	ˈlebənən
lech	letʃ
lecher	ˈletʃə
lecheries	ˈletʃəriz
lechers	ˈletʃəz
lechery	ˈletʃəri
leches	ˈletʃɪz
lecithin	ˈlesɪθɪn
lectern	ˈlektən
lecterns	ˈlektənz
lector	ˈlektɔː
lectors	ˈlektɔːz
lecture	ˈlektʃə
lecturer	ˈlektʃərə
