abase	əˈbeɪs
clavicle	ˈklævɪkl
claustrophobia	ˌklɔːstrəˈfəʊbiə
clause	klɔːz
claustrophobic	ˌklɔːstrəˈfəʊbɪk
classless	ˈklɑːsləs
classlessness	ˈklɑːsləsnəs
claw	klɔː
classy	ˈklɑːsi
clayey	kleɪi
clay	kleɪ
clave	kleɪv
clean	kliːn
claymore	ˈkleɪmɔː(r)
cleaning	ˈkliːnɪŋ
cleanly	ˈkliːnli
cleanliness	ˈklenlinəs
clearance	ˈklɪərəns
cleaner	ˈkliːnə(r)
cleanse	klenz
clear	klɪə(r)
clearly	ˈklɪəli
cleavage	ˈkliːvɪdʒ
cleft	kleft
clef	klef
cleat	kliːt
cleave	kliːv
clematis	ˈklemətɪs
clement	ˈklemənt
cleaver	ˈkliːvə(r)
clearness	ˈklɪənəs
clemency	ˈklemənsi
cleanser	ˈklenzə(r)
clerestory	ˈklɪəstɔːri
clergy	ˈklɜːdʒi
clergywoman	ˈklɜːdʒiwʊmən
clergywomen	ˈklɜːdʒiwɪmɪn
clerical	ˈklerɪkl
clerihew	ˈklerɪhjuː
click	klɪk
clench	klentʃ
cleric	ˈklerɪk
climb	klaɪm
cliffhanger	ˈklɪfhæŋə(r)
cliffhanging	ˈklɪfhæŋɪŋ
clever	ˈklevə(r)
cleverly	ˈklevəli
client	ˈklaɪənt
clergyman	ˈklɜːdʒimən
clergymen	ˈklɜːdʒimən
cliff	klɪf
climate	ˈklaɪmət
clime	klaɪm
cliche	ˈkliːʃeɪ
clichéd	ˈkliːʃeɪd
clincher	ˈklɪntʃə(r)
cling	klɪŋ
clung	klʌŋ
climber	ˈklaɪmə(r)
cline	klaɪn
clinging	ˈklɪŋɪŋ
clinical	ˈklɪnɪkl
clinically	ˈklɪnɪkli
climbing	ˈklaɪmɪŋ
climatology	ˌklaɪməˈtɒlədʒi
climatological	ˌklaɪmətəˈlɒdʒɪkl
clip	klɪp
clientele	ˌkliːənˈtel
clearing	ˈklɪərɪŋ
clinch	klɪntʃ
clinometer	klaɪˈnɒmɪtə(r)
clipper	ˈklɪpə(r)
clinician	klɪˈnɪʃn
clinker	ˈklɪŋkə(r)
clique	kliːk
clinic	ˈklɪnɪk
cliquey	ˈkliːki
clipping	ˈklɪpɪŋ
clitic	ˈklɪtɪk
clitoris	ˈklɪtərɪs
clitoral	ˈklɪtərəl
cloak	kləʊk
cloche	klɒʃ
clink	klɪŋk
clerk	klɑːk
clipboard	ˈklɪpbɔːd
climax	ˈklaɪmæks
clipped	klɪpt
clockwise	ˈklɒkwaɪz
clockwork	ˈklɒkwɜːk
clobber	ˈklɒbə(r)
clocker	ˈklɒkə(r)
cloakroom	ˈkləʊkruːm
clodhopper	ˈklɒdhɒpə(r)
cloistered	ˈklɔɪstəd
cloister	ˈklɔɪstə(r)
clog	klɒɡ
clone	kləʊn
clock	klɒk
clod	klɒd
close	kləʊz
closed	kləʊzd
clonk	klɒŋk
closure	ˈkləʊʒə(r)
clot	klɒt
clothe	kləʊð
cloth	klɒθ
cloths	klɒθs
clothes	kləʊðz
clothed	kləʊðd
clothing	ˈkləʊðɪŋ
cloud	klaʊd
clothier	ˈkləʊðiə(r)
cloudy	ˈklaʊdi
cloudiness	ˈklaʊdinəs
closeout	ˈkləʊzaʊt
cloudless	ˈklaʊdləs
cloverleaf	ˈkləʊvəliːf
clover	ˈkləʊvə(r)
closet	ˈklɒzɪt
cloudburst	ˈklaʊdbɜːst
clown	klaʊn
clownish	ˈklaʊnɪʃ
closing	ˈkləʊzɪŋ
cloying	ˈklɔɪɪŋ
cloyingly	ˈklɔɪɪŋli
cloy	klɔɪ
clout	klaʊt
clove	kləʊv
cluck	klʌk
clueless	ˈkluːləs
clunk	klʌŋk
clunky	ˈklʌŋki
clubhouse	ˈklʌbhaʊs
clue	kluː
clump	klʌmp
clumpy	klʌmpi
clung	klʌŋ
clutch	klʌtʃ
clutter	ˈklʌtə(r)
clubbing	ˈklʌbɪŋ
clubber	ˈklʌbə(r)
coach	kəʊtʃ
coaching	ˈkəʊtʃɪŋ
coachman	ˈkəʊtʃmən
coachmen	ˈkəʊtʃmən
coachwork	ˈkəʊtʃwɜːk
clumsy	ˈklʌmzi
clumsily	ˈklʌmzɪli
cluster	ˈklʌstə(r)
clunker	ˈklʌŋkə(r)
club	klʌb
coagulate	kəʊˈæɡjuleɪt
coagulation	kəʊˌæɡjuˈleɪʃn
cluttered	ˈklʌtəd
coalesce	ˌkəʊəˈles
coalescence	ˌkəʊəˈlesns
coal	kəʊl
coalfield	ˈkəʊlfiːld
coaming	ˈkəʊmɪŋ
coalition	ˌkəʊəˈlɪʃn
coast	kəʊst
coarse	kɔːs
coarsely	kɔːsli
coarsen	ˈkɔːsn
coaster	ˈkəʊstə(r)
coastline	ˈkəʊstlaɪn
coating	ˈkəʊtɪŋ
coati	kəʊˈɑːti
coatroom	ˈkəʊtruːm
coastguard	ˈkəʊstɡɑːd
coastguardsmen	ˈkəʊstɡɑːdzmən
coastal	ˈkəʊstl
coax	kəʊks
cobalt	ˈkəʊbɔːlt
coaxing	ˈkəʊksɪŋ
cobber	ˈkɒbə(r)
cobble	ˈkɒbl
cob	kɒb
cobbler	ˈkɒblə(r)
cobblestones	ˈkɒblstəʊnz
cobbled	ˈkɒbld
cobbles	ˈkɒblz
cobra	ˈkəʊbrə
coat	kəʊt
cobweb	ˈkɒbweb
cobwebbed	ˈkɒbwebd
coca	ˈkəʊkə
cockatoo	ˌkɒkəˈtuː
cochlea	ˈkɒkliə
cochleae	ˈkɒkliiː
cochineal	ˌkɒtʃɪˈniːl
cockatiel	ˌkɒkəˈtiːl
cockamamie	ˈkɒkəmeɪmi
cockchafer	ˈkɒktʃeɪfə(r)
cockle	ˈkɒkl
cockleshell	ˈkɒklʃel
cocaine	kəʊˈkeɪn
cockfight	ˈkɒkfaɪt
cockfighting	ˈkɒkfaɪtɪŋ
cockroach	ˈkɒkrəʊtʃ
coccyx	ˈkɒksɪks
coccyges	ˈkɒksɪdʒiːz
cocker	ˈkɒkə(r)
cockerel	ˈkɒkərəl
cockpit	ˈkɒkpɪt
cockade	kɒˈkeɪd
cockney	ˈkɒkni
cocksure	ˌkɒkˈʃʊə(r)
cocky	ˈkɒki
cockiness	ˈkɒkinəs
cock	kɒk
cocktail	ˈkɒkteɪl
cocoa	ˈkəʊkəʊ
cockcrow	ˈkɒkkrəʊ
coconut	ˈkəʊkənʌt
cocksucker	ˈkɒksʌkə(r)
cocooning	kəˈkuːnɪŋ
cockeyed	ˈkɒkaɪd
cod	kɒd
cocoyam	ˈkəʊkəʊjæm
cocoon	kəˈkuːn
coded	ˈkəʊdɪd
code	kəʊd
coda	ˈkəʊdə
codicil	ˈkəʊdɪsɪl
codeine	ˈkəʊdiːn
codex	ˈkəʊdeks
codices	ˈkəʊdɪsiːz
codices	ˈkɒdɪsiːz
codependency	ˌkəʊdɪˈpendənsi
coelacanth	ˈsiːləkænθ
codswallop	ˈkɒdzwɒləp
coefficient	ˌkəʊɪˈfɪʃnt
coddle	ˈkɒdl
codger	ˈkɒdʒə(r)
coed	ˌkəʊˈed
codpiece	ˈkɒdpiːs
codify	ˈkəʊdɪfaɪ
codification	ˌkəʊdɪfɪˈkeɪʃn
coerce	kəʊˈɜːs
coercive	kəʊˈɜːsɪv
coeval	kəʊˈiːvl
coercion	kəʊˈɜːʃn
coexist	ˌkəʊɪɡˈzɪst
coffee	ˈkɒfi
coffer	ˈkɒfə(r)
coffin	ˈkɒfɪn
cogent	ˈkəʊdʒənt
cogency	ˈkəʊdʒənsi
cog	kɒɡ
cognate	ˈkɒɡneɪt
coexistence	ˌkəʊɪɡˈzɪstəns
cognitive	ˈkɒɡnətɪv
cogitate	ˈkɒdʒɪteɪt
cogitation	ˌkɒdʒɪˈteɪʃn
cohabit	kəʊˈhæbɪt
cohabitation	ˌkəʊˌhæbɪˈteɪʃn
coherence	kəʊˈhɪərəns
coherent	kəʊˈhɪərənt
coherently	kəʊˈhɪərəntli
cognizance	ˈkɒɡnɪzəns
cognac	ˈkɒnjæk
cognition	kɒɡˈnɪʃn
cohesion	kəʊˈhiːʒn
cohort	ˈkəʊhɔːt
cogwheel	ˈkɒɡwiːl
cognoscenti	ˌkɒnjəˈʃenti
coiffure	kwɑːˈfjʊə(r)
coil	kɔɪl
coincidence	kəʊˈɪnsɪdəns
cohere	kəʊˈhɪə(r)
coincide	ˌkəʊɪnˈsaɪd
coincidental	kəʊˌɪnsɪˈdentl
coincidentally	kəʊˌɪnsɪˈdentəli
coin	kɔɪn
cohesive	kəʊˈhiːsɪv
cohesiveness	kəʊˈhiːsɪvnəs
coinage	ˈkɔɪnɪdʒ
coincident	kəʊˈɪnsɪdənt
colander	ˈkʌləndə(r)
coitus	ˈkɔɪtəs
coke	kəʊk
colcannon	kɒlˈkænən
coir	ˈkɔɪə(r)
coldness	ˈkəʊldnəs
coldly	ˈkəʊldli
coleopterist	ˌkɒliˈɒptərɪst
cola	ˈkəʊlə
colic	ˈkɒlɪk
coleslaw	ˈkəʊlslɔː
collaborate	kəˈlæbəreɪt
collaborator	kəˈlæbəreɪtə(r)
collage	ˈkɒlɑːʒ
collagen	ˈkɒlədʒən
collarbone	ˈkɒləbəʊn
collaboration	kəˌlæbəˈreɪʃn
colitis	kəˈlaɪtɪs
collapse	kəˈlæps
collaborative	kəˈlæbərətɪv
collaboratively	kəˈlæbərətɪvli
collar	ˈkɒlə(r)
collateral	kəˈlætərəl
collate	kəˈleɪt
collation	kəˈleɪʃn
collapsible	kəˈlæpsəbl
collect	kəˈlekt
cold	kəʊld
collectable	kəˈlektəbl
collected	kəˈlektɪd
collective	kəˈlektɪv
collectively	kəˈlektɪvli
collection	kəˈlekʃn
collarless	ˈkɒlələs
colleague	ˈkɒliːɡ
collectivism	kəˈlektɪvɪzəm
collectivist	kəˈlektɪvɪst
collectivize	kəˈlektɪvaɪz
collectivization	kəˌlektɪvaɪˈzeɪʃn
collector	kəˈlektə(r)
college	ˈkɒlɪdʒ
collegiate	kəˈliːdʒiət
collie	ˈkɒli
collide	kəˈlaɪd
collier	ˈkɒliə(r)
colligate	ˈkɒlɪɡeɪt
colliery	ˈkɒliəri
collider	kəˈlaɪdə(r)
colleen	kɒˈliːn
collocation	ˌkɒləˈkeɪʃn
collision	kəˈlɪʒn
collocate	ˈkɒləkeɪt
collocate	ˈkɒləkət
colloquialism	kəˈləʊkwiəlɪzəm
collude	kəˈluːd
colloquium	kəˈləʊkwiəm
colloquia	kəˈləʊkwiə
colloquy	ˈkɒləkwi
collusion	kəˈluːʒn
collusive	kəˈluːsɪv
colobus	ˈkɒləbəs
collywobbles	ˈkɒliwɒblz
colon	ˈkəʊlən
cologne	kəˈləʊn
colonel	ˈkɜːnl
colonialism	kəˈləʊniəlɪzəm
colonialist	kəˈləʊniəlɪst
colonic	kəˈlɒnɪk
colonial	kəˈləʊniəl
colonist	ˈkɒlənɪst
colloquial	kəˈləʊkwiəl
colloquially	kəˈləʊkwiəli
colonize	ˈkɒlənaɪz
colonization	ˌkɒlənaɪˈzeɪʃn
colonnade	ˌkɒləˈneɪd
colonnaded	ˌkɒləˈneɪdɪd
colony	ˈkɒləni
coloration	ˌkʌləˈreɪʃn
colophon	ˈkɒləfən
colorize	ˈkʌləraɪz
colour	ˈkʌlə(r)
colouring	ˈkʌlərɪŋ
colossal	kəˈlɒsl
coloratura	ˌkɒlərəˈtʊərə
colostomy	kəˈlɒstəmi
coloured	ˈkʌləd
colossus	kəˈlɒsəs
colossi	kəˈlɒsaɪ
colt	kəʊlt
columnist	ˈkɒləmnɪst
colostrum	kəˈlɒstrəm
coma	ˈkəʊmə
column	ˈkɒləm
comb	kəʊm
combats	ˈkɒmbæts
combat	ˈkɒmbæt
combative	ˈkɒmbətɪv
combine	kəmˈbaɪn
coltish	ˈkəʊltɪʃ
columbine	ˈkɒləmbaɪn
combo	ˈkɒmbəʊ
combust	kəmˈbʌst
combination	ˌkɒmbɪˈneɪʃn
combustible	kəmˈbʌstəbl
combustion	kəmˈbʌstʃən
comeback	ˈkʌmbæk
come	kʌm
came	keɪm
comestible	kəˈmestɪbl
combatant	ˈkɒmbətənt
comatose	ˈkəʊmətəʊs
comfort	ˈkʌmfət
comet	ˈkɒmɪt
comedian	kəˈmiːdiən
comfortable	ˈkʌmftəbl
comfit	ˈkʌmfɪt
comedienne	kəˌmiːdiˈen
comedown	ˈkʌmdaʊn
comely	ˈkʌmli
comforter	ˈkʌmfətə(r)
comfrey	ˈkʌmfri
comfortably	ˈkʌmftəbli
comforting	ˈkʌmfətɪŋ
comfortingly	ˈkʌmfətɪŋli
comfortless	ˈkʌmfətləs
comfy	ˈkʌmfi
comic	ˈkɒmɪk
command	kəˈmɑːnd
coming	ˈkʌmɪŋ
comical	ˈkɒmɪkl
comically	ˈkɒmɪkli
comer	ˈkʌmə(r)
commandant	ˈkɒməndænt
commander	kəˈmɑːndə(r)
comma	ˈkɒmə
commandment	kəˈmɑːndmənt
commando	kəˈmɑːndəʊ
comeuppance	kʌmˈʌpəns
commemorate	kəˈmeməreɪt
commemoration	kəˌmeməˈreɪʃn
commencement	kəˈmensmənt
commend	kəˈmend
commence	kəˈmens
commemorative	kəˈmemərətɪv
commandeer	ˌkɒmənˈdɪə(r)
commendable	kəˈmendəbl
commendably	kəˈmendəbli
commendation	ˌkɒmenˈdeɪʃn
comment	ˈkɒment
commensal	kəˈmensl
commensalism	kəˈmenslɪzəm
commensurate	kəˈmenʃərət
commensurately	kəˈmenʃərətli
commentator	ˈkɒmənteɪtə(r)
commentary	ˈkɒməntri
commentate	ˈkɒmənteɪt
commanding	kəˈmɑːndɪŋ
commercial	kəˈmɜːʃl
commercially	kəˈmɜːʃəli
commercialism	kəˈmɜːʃəlɪzəm
commie	ˈkɒmi
commingle	kəˈmɪŋɡl
commercialize	kəˈmɜːʃəlaɪz
commercialization	kəˌmɜːʃəlaɪˈzeɪʃn
commerce	ˈkɒmɜːs
commissariat	ˌkɒmɪˈseəriət
commission	kəˈmɪʃn
commissary	ˈkɒmɪsəri
commissionaire	kəˌmɪʃəˈneə(r)
commiseration	kəˌmɪzəˈreɪʃn
commit	kəˈmɪt
committee	kəˈmɪti
committed	kəˈmɪtɪd
commissioner	kəˈmɪʃənə(r)
commissar	ˌkɒmɪˈsɑː(r)
commode	kəˈməʊd
commiserate	kəˈmɪzəreɪt
commodious	kəˈməʊdiəs
common	ˈkɒmən
commonplace	ˈkɒmənpleɪs
committal	kəˈmɪtl
commoner	ˈkɒmənə(r)
commonly	ˈkɒmənli
commons	ˈkɒmənz
commotion	kəˈməʊʃn
commodore	ˈkɒmədɔː(r)
communalism	kəˈmjuːnəlɪzəm
communal	kəˈmjuːnl
communicable	kəˈmjuːnɪkəbl
commune	ˈkɒmjuːn
communicant	kəˈmjuːnɪkənt
commodity	kəˈmɒdəti
commonwealth	ˈkɒmənwelθ
communication	kəˌmjuːnɪˈkeɪʃn
communion	kəˈmjuːniən
communique	kəˈmjuːnɪkeɪ
communicator	kəˈmjuːnɪkeɪtə(r)
communicative	kəˈmjuːnɪkətɪv
compact	kəmˈpækt
commutable	kəˈmjuːtəbl
communist	ˈkɒmjənɪst
commutative	kəˈmjuːtətɪv
commutation	ˌkɒmjuˈteɪʃn
comp	kɒmp
community	kəˈmjuːnəti
compadre	kɒmˈpɑːdreɪ
companion	kəmˈpæniən
comparable	ˈkɒmpərəbl
comparability	ˌkɒmpərəˈbɪləti
companionship	kəmˈpæniənʃɪp
communicate	kəˈmjuːnɪkeɪt
comparative	kəmˈpærətɪv
commuter	kəˈmjuːtə(r)
commutator	ˈkɒmjuteɪtə(r)
commute	kəˈmjuːt
companionway	kəmˈpæniənweɪ
comparatively	kəmˈpærətɪvli
compare	kəmˈpeə(r)
communism	ˈkɒmjunɪzəm
compartment	kəmˈpɑːtmənt
companionable	kəmˈpæniənəbl
companionably	kəmˈpæniənəbli
compartmentalize	ˌkɒmpɑːtˈmentəlaɪz
company	ˈkʌmpəni
compassionate	kəmˈpæʃənət
compassionately	kəmˈpæʃənətli
compass	ˈkʌmpəs
compassion	kəmˈpæʃn
compatibility	kəmˌpætəˈbɪləti
compatible	kəmˈpætəbl
compatibly	kəmˈpætəbli
compelling	kəmˈpelɪŋ
compellingly	kəmˈpelɪŋli
compatriot	kəmˈpætriət
compendium	kəmˈpendiəm
compendia	kəmˈpendiə
compendious	kəmˈpendiəs
compensate	ˈkɒmpenseɪt
compensatory	ˌkɒmpenˈseɪtəri
compere	ˈkɒmpeə(r)
competence	ˈkɒmpɪtəns
compete	kəmˈpiːt
comparison	kəmˈpærɪsn
complacent	kəmˈpleɪsnt
complacently	kəmˈpleɪsntli
compel	kəmˈpel
competitor	kəmˈpetɪtə(r)
competitive	kəmˈpetətɪv
competitively	kəmˈpetətɪvli
compiler	kəmˈpaɪlə(r)
competition	ˌkɒmpəˈtɪʃn
complaisant	kəmˈpleɪzənt
complaisance	kəmˈpleɪzəns
complected	kəmˈplektɪd
complement	ˈkɒmplɪment
compile	kəmˈpaɪl
complementary	ˌkɒmplɪˈmentri
complete	kəmˈpliːt
completeness	kəmˈpliːtnəs
complementation	ˌkɒmplɪmenˈteɪʃn
compilation	ˌkɒmpɪˈleɪʃn
complaint	kəmˈpleɪnt
complain	kəmˈpleɪn
complacency	kəmˈpleɪsnsi
completely	kəmˈpliːtli
complex	ˈkɒmpleks
complexity	kəmˈpleksəti
competent	ˈkɒmpɪtənt
competently	ˈkɒmpɪtəntli
compliant	kəmˈplaɪənt
complicity	kəmˈplɪsəti
complicate	ˈkɒmplɪkeɪt
complicit	kəmˈplɪsɪt
compliment	ˈkɒmplɪmənt
complementizer	ˈkɒmplɪməntaɪzə(r)
compensation	ˌkɒmpenˈseɪʃn
completion	kəmˈpliːʃn
compliance	kəmˈplaɪəns
complication	ˌkɒmplɪˈkeɪʃn
complimentary	ˌkɒmplɪˈmentri
compo	ˈkɒmpəʊ
composite	ˈkɒmpəzɪt
complexion	kəmˈplekʃn
compost	ˈkɒmpɒst
comport	kəmˈpɔːt
composition	ˌkɒmpəˈzɪʃn
component	kəmˈpəʊnənt
composer	kəmˈpəʊzə(r)
comprehensive	ˌkɒmprɪˈhensɪv
comprehensiveness	ˌkɒmprɪˈhensɪvnəs
compositor	kəmˈpɒzɪtə(r)
comportment	kəmˈpɔːtmənt
composure	kəmˈpəʊʒə(r)
comply	kəmˈplaɪ
compose	kəmˈpəʊz
composed	kəmˈpəʊzd
comprehend	ˌkɒmprɪˈhend
comprehensively	ˌkɒmprɪˈhensɪvli
compressor	kəmˈpresə(r)
comprehensible	ˌkɒmprɪˈhensəbl
comprehensibility	ˌkɒmprɪˌhensəˈbɪləti
comprehension	ˌkɒmprɪˈhenʃn
complicated	ˈkɒmplɪkeɪtɪd
compromise	ˈkɒmprəmaɪz
compulsive	kəmˈpʌlsɪv
compulsively	kəmˈpʌlsɪvli
compulsion	kəmˈpʌlʃn
compromising	ˈkɒmprəmaɪzɪŋ
comptroller	kənˈtrəʊlə(r)
comprise	kəmˈpraɪz
computational	ˌkɒmpjuˈteɪʃənl
computerize	kəmˈpjuːtəraɪz
computerization	kəmˌpjuːtəraɪˈzeɪʃn
comrade	ˈkɒmreɪd
comradely	ˈkɒmreɪdli
compress	kəmˈpres
compression	kəmˈpreʃn
compound	ˈkɒmpaʊnd
concavity	ˌkɒnˈkævəti
computation	ˌkɒmpjuˈteɪʃn
concatenation	kənˌkætəˈneɪʃn
compute	kəmˈpjuːt
computable	kəmˈpjuːtəbl
conation	kəˈneɪʃn
conative	ˈkɒnətɪv
conceal	kənˈsiːl
compulsory	kəmˈpʌlsəri
compulsorily	kəmˈpʌlsərəli
concealer	kənˈsiːlə(r)
concealment	kənˈsiːlmənt
compunction	kəmˈpʌŋkʃn
conceit	kənˈsiːt
concave	kɒnˈkeɪv
conceive	kənˈsiːv
conceivable	kənˈsiːvəbl
conceivably	kənˈsiːvəbli
concentrate	ˈkɒnsntreɪt
computing	kəmˈpjuːtɪŋ
concentric	kənˈsentrɪk
concede	kənˈsiːd
conceited	kənˈsiːtɪd
conceitedly	kənˈsiːtɪdli
concept	ˈkɒnsept
conceptual	kənˈseptʃuəl
conceptually	kənˈseptʃuəli
conception	kənˈsepʃn
conceptualize	kənˈseptʃuəlaɪz
concerted	kənˈsɜːtɪd
concertgoer	ˈkɒnsətɡəʊə(r)
concertina	ˌkɒnsəˈtiːnə
concerning	kənˈsɜːnɪŋ
concert	ˈkɒnsət
concentrated	ˈkɒnsntreɪtɪd
concession	kənˈseʃn
concerto	kənˈtʃɜːtəʊ
concertmaster	ˈkɒnsətmɑːstə(r)
concessive	kənˈsesɪv
conch	kɒntʃ
concentration	ˌkɒnsnˈtreɪʃn
computer	kəmˈpjuːtə(r)
concessionaire	kənˌseʃəˈneə(r)
concierge	ˈkɒnsieəʒ
concessionary	kənˈseʃənəri
conciliatory	kənˈsɪliətəri
conchie	ˈkɒntʃi
conclave	ˈkɒŋkleɪv
conclude	kənˈkluːd
concoct	kənˈkɒkt
concrete	ˈkɒŋkriːt
concretely	ˈkɒŋkriːtli
conciliate	kənˈsɪlieɪt
conciliation	kənˌsɪliˈeɪʃn
concoction	kənˈkɒkʃn
conclusive	kənˈkluːsɪv
conclusively	kənˈkluːsɪvli
concise	kənˈsaɪs
concisely	kənˈsaɪsli
concomitant	kənˈkɒmɪtənt
conceptualism	kənˈseptʃuəlɪzəm
conceptualist	kənˈseptʃuəlɪst
concordat	kənˈkɔːdæt
concord	ˈkɒŋkɔːd
concourse	ˈkɒŋkɔːs
concordance	kənˈkɔːdəns
conciliator	kənˈsɪlieɪtə(r)
conclusion	kənˈkluːʒn
concupiscence	kənˈkjuːpɪsns
concur	kənˈkɜː(r)
concuss	kənˈkʌs
concubine	ˈkɒŋkjubaɪn
condemnation	ˌkɒndemˈneɪʃn
condense	kənˈdens
concurrence	kənˈkʌrəns
condescend	ˌkɒndɪˈsend
condescension	ˌkɒndɪˈsenʃn
condign	kənˈdaɪn
conditional	kənˈdɪʃənl
conditionally	kənˈdɪʃənəli
condiment	ˈkɒndɪmənt
conditioner	kənˈdɪʃənə(r)
concern	kənˈsɜːn
concerned	kənˈsɜːnd
concurrent	kənˈkʌrənt
concurrently	kənˈkʌrəntli
condensation	ˌkɒndenˈseɪʃn
condenser	kənˈdensə(r)
condescending	ˌkɒndɪˈsendɪŋ
condescendingly	ˌkɒndɪˈsendɪŋli
conditioning	kənˈdɪʃənɪŋ
condo	ˈkɒndəʊ
concussion	kənˈkʌʃn
condition	kənˈdɪʃn
condemn	kənˈdem
condolence	kənˈdəʊləns
condone	kənˈdəʊn
conduct	kənˈdʌkt
conductive	kənˈdʌktɪv
conductivity	ˌkɒndʌkˈtɪvəti
condor	ˈkɒndɔː(r)
conduction	kənˈdʌkʃn
conducive	kənˈdjuːsɪv
conductance	kənˈdʌktəns
condominium	ˌkɒndəˈmɪniəm
confabulation	kənˌfæbjəˈleɪʃn
confectioner	kənˈfekʃənə(r)
confederate	kənˈfedərət
condom	ˈkɒndɒm
conductress	kənˈdʌktrəs
confess	kənˈfes
cone	kəʊn
conductor	kənˈdʌktə(r)
confederacy	kənˈfedərəsi
confer	kənˈfɜː(r)
conference	ˈkɒnfərəns
confection	kənˈfekʃn
conduit	ˈkɒndjuɪt
confederation	kənˌfedəˈreɪʃn
confab	ˈkɒnfæb
confessional	kənˈfeʃənl
confidant	ˈkɒnfɪdænt
confetti	kənˈfeti
confessor	kənˈfesə(r)
conferment	kənˈfɜːmənt
confident	ˈkɒnfɪdənt
confidently	ˈkɒnfɪdəntli
confidential	ˌkɒnfɪˈdenʃl
confidentially	ˌkɒnfɪˈdenʃəli
confide	kənˈfaɪd
confiding	kənˈfaɪdɪŋ
confidingly	kənˈfaɪdɪŋli
configure	kənˈfɪɡə(r)
confidence	ˈkɒnfɪdəns
confinement	kənˈfaɪnmənt
confiscate	ˈkɒnfɪskeɪt
confiscation	ˌkɒnfɪˈskeɪʃn
confession	kənˈfeʃn
conferencing	ˈkɒnfərənsɪŋ
configuration	kənˌfɪɡəˈreɪʃn
confines	ˈkɒnfaɪnz
confined	kənˈfaɪnd
confirmed	kənˈfɜːmd
confirm	kənˈfɜːm
conflate	kənˈfleɪt
conflation	kənˈfleɪʃn
confluence	ˈkɒnfluəns
conformance	kənˈfɔːməns
confit	ˈkɒnfi
confine	kənˈfaɪn
confidentiality	ˌkɒnfɪˌdenʃiˈæləti
conflagration	ˌkɒnfləˈɡreɪʃn
conformable	kənˈfɔːməbl
conformability	kənˌfɔːməˈbɪləti
conflicted	kənˈflɪktɪd
conform	kənˈfɔːm
conformation	ˌkɒnfɔːˈmeɪʃn
conformist	kənˈfɔːmɪst
confound	kənˈfaʊnd
conformity	kənˈfɔːməti
confront	kənˈfrʌnt
confirmation	ˌkɒnfəˈmeɪʃn
confraternity	ˌkɒnfrəˈtɜːnɪti
confused	kənˈfjuːzd
confusedly	kənˈfjuːzədli
conga	ˈkɒŋɡə
confute	kənˈfjuːt
congeal	kənˈdʒiːl
confuse	kənˈfjuːz
confusion	kənˈfjuːʒn
confounded	kənˈfaʊndɪd
confrontational	ˌkɒnfrʌnˈteɪʃnl
conflict	ˈkɒnflɪkt
confrontation	ˌkɒnfrʌnˈteɪʃn
congenital	kənˈdʒenɪtl
congenitally	kənˈdʒenɪtəli
congested	kənˈdʒestɪd
congestion	kənˈdʒestʃən
conglomerate	kənˈɡlɒmərət
conger	ˈkɒŋɡə(r)
conglomeration	kənˌɡlɒməˈreɪʃn
congratulate	kənˈɡrætʃuleɪt
confusing	kənˈfjuːzɪŋ
confusingly	kənˈfjuːzɪŋli
congrats	kənˈɡræts
congo	ˈkɒŋɡəʊ
congratulation	kənˌɡrætʃuˈleɪʃn
congregationalism	ˌkɒŋɡrɪˈɡeɪʃnəlɪzəm
Congregational	ˌkɒŋɡrɪˈɡeɪʃnəl
congressional	kənˈɡreʃənl
congenial	kənˈdʒiːniəl
congratulatory	kənˌɡrætʃuˈleɪtəri
congressman	ˈkɒŋɡresmən
congresswoman	ˈkɒŋɡreswʊmən
congressmen	ˈkɒŋɡresmən
congresswomen	ˈkɒŋɡreswɪmɪn
congregate	ˈkɒŋɡrɪɡeɪt
conical	ˈkɒnɪkl
conifer	ˈkɒnɪfə(r)
coniferous	kəˈnɪfərəs
congruent	ˈkɒŋɡruənt
congruence	ˈkɒŋɡruəns
conic	ˈkɒnɪk
conjoin	kənˈdʒɔɪn
conjoint	kənˈdʒɔɪnt
conjointly	kənˈdʒɔɪntli
conjunctivitis	kənˌdʒʌŋktɪˈvaɪtɪs
conjure	ˈkʌndʒə(r)
conk	kɒŋk
conjuring	ˈkʌndʒərɪŋ
congress	ˈkɒŋɡres
conjugal	ˈkɒndʒəɡl
conjugation	ˌkɒndʒuˈɡeɪʃn
conjugate	ˈkɒndʒəɡeɪt
conjecture	kənˈdʒektʃə(r)
conjectural	kənˈdʒektʃərəl
connectedness	kəˈnektɪdnəs
connect	kəˈnekt
connective	kəˈnektɪv
connected	kəˈnektɪd
connectivity	ˌkɒnekˈtɪvɪti
connivance	kəˈnaɪvəns
conjunction	kənˈdʒʌŋkʃn
connive	kəˈnaɪv
connection	kəˈnekʃn
connector	kəˈnektə(r)
conniving	kəˈnaɪvɪŋ
connote	kəˈnəʊt
conniption	kəˈnɪpʃn
connotation	ˌkɒnəˈteɪʃn
conquer	ˈkɒŋkə(r)
conquistador	kɒnˈkwɪstədɔː(r)
conquistadores	kɒnˌkwɪstəˈdɔːreɪz
conquistadores	kɒnˌkɪstəˈdɔːreɪz
conqueror	ˈkɒŋkərə(r)
consanguinity	ˌkɒnsæŋˈɡwɪnəti
conscience	ˈkɒnʃəns
